Customer ID,Anastasia Beverly Hills,Discount of Women's Active Shoes,Dress sale - 30 percent off,Home Closeout,Johnston and Murphy,Lancome Gift with Purchase,Shoe and Handbag sale,Free shipping on orders over $49,Save 10% with store pickup,Women's Sweather Sale,Save 20% Career Suits
24874,T,T,T,F,F,F,F,T,F,F,T
104988,F,F,F,F,T,F,F,F,F,F,F
84902,F,F,F,F,F,T,F,F,F,F,F
96512,T,F,F,F,F,F,T,T,F,F,T
99575,F,F,F,F,F,T,F,F,F,T,F
33413,F,F,F,F,F,T,F,T,F,F,T
57678,F,F,F,F,F,T,F,F,F,F,F
89425,T,F,F,T,F,F,T,F,F,T,F
60571,F,F,F,F,F,T,F,F,F,T,F
76095,F,F,F,T,F,T,T,F,F,F,F
48247,F,F,F,F,F,F,F,F,F,F,F
88019,T,F,F,F,F,F,F,F,F,F,F
30850,T,F,F,F,F,F,F,F,F,T,F
66117,F,F,F,F,T,F,F,F,F,T,F
97377,F,F,F,F,F,F,T,F,F,F,F
101722,F,T,F,F,F,T,F,F,F,T,F
43498,F,F,F,F,F,F,F,F,F,F,F
44562,F,F,F,F,F,T,F,F,T,F,F
74710,F,F,F,F,F,F,F,F,F,F,F
85585,F,F,F,F,F,F,F,T,T,F,T
97287,F,F,F,T,F,T,T,T,F,T,F
19268,F,F,F,F,F,F,F,F,F,F,F
50150,T,F,F,F,F,F,F,T,T,T,F
67455,F,T,F,F,F,F,T,F,F,F,F
16350,T,T,F,F,F,F,F,F,F,F,F
42778,F,F,T,T,F,T,T,F,T,F,F
98181,F,F,T,F,F,F,F,F,T,F,T
106522,F,F,F,T,F,T,T,F,F,F,F
36278,F,T,F,F,F,T,F,F,T,F,F
26130,F,F,F,T,F,F,F,T,F,F,F
57851,T,F,F,F,T,F,T,F,F,F,T
81971,T,F,T,T,F,F,F,F,F,T,F
57068,F,F,T,T,F,F,F,F,F,T,F
69122,F,F,T,F,T,F,F,F,F,F,F
68489,F,F,F,F,F,T,F,F,F,T,F
46471,F,F,F,F,F,F,F,F,F,F,F
88359,T,T,F,F,F,F,F,F,F,F,T
44294,F,F,T,T,F,T,T,F,F,F,F
95604,F,F,F,T,T,T,T,T,F,T,F
103596,F,F,F,F,T,F,F,F,T,F,F
103473,F,F,F,F,T,T,F,F,F,F,F
94467,F,F,F,T,F,T,T,F,T,T,F
38097,T,F,F,T,T,T,T,T,F,T,F
49632,F,F,F,T,T,F,F,F,F,T,T
82558,F,T,F,F,F,F,T,T,T,F,F
50324,F,T,F,F,F,F,F,F,T,T,F
38468,F,F,F,F,F,F,F,F,F,F,F
38055,T,F,F,F,F,F,F,F,F,F,F
74876,F,F,T,F,F,F,T,F,F,F,T
18079,F,F,T,F,F,F,F,T,F,F,F
16316,T,F,T,F,F,T,F,F,F,T,F
37166,T,F,F,F,F,F,T,F,F,T,F
18334,F,F,F,F,F,T,F,T,F,F,T
102645,F,F,F,T,T,F,F,F,F,F,F
101100,F,F,F,T,F,T,T,T,F,F,F
64861,F,F,T,F,F,T,T,F,F,F,T
19041,T,T,F,T,F,F,F,F,F,T,F
85771,F,F,F,F,T,F,F,T,F,F,T
79303,T,F,T,F,F,F,F,F,F,T,F
92675,F,T,F,F,F,F,F,F,F,F,F
71690,T,F,F,F,F,F,T,F,T,T,F
86350,F,F,F,F,F,T,F,F,T,F,F
88260,F,F,T,T,F,F,F,F,F,F,F
86759,F,F,F,T,F,F,F,F,F,F,F
49861,F,F,F,F,F,F,T,F,F,F,F
21543,F,F,F,T,F,T,F,T,T,F,F
70481,F,F,F,T,F,F,T,F,T,T,F
29944,T,F,F,F,F,T,T,F,T,T,F
46054,F,T,F,T,T,T,T,F,T,F,T
61329,T,F,F,F,F,F,F,F,F,F,F
24566,F,F,F,T,T,F,F,T,F,T,T
58768,F,F,F,F,F,F,F,T,T,F,F
71343,F,F,F,T,F,T,T,F,F,F,F
55418,T,F,F,F,F,F,F,F,F,F,F
18228,F,F,F,T,F,F,F,F,F,F,F
37305,F,F,F,F,F,F,F,F,F,F,F
30243,F,T,F,T,T,T,T,T,F,F,T
59599,F,F,F,F,T,T,T,F,F,F,F
61869,T,F,F,T,F,T,T,T,F,F,F
10360,F,F,F,T,F,T,T,F,F,T,F
83338,F,F,F,F,T,F,F,F,F,F,F
39080,F,F,F,T,F,F,F,F,F,T,F
84799,F,T,F,F,T,F,F,F,F,F,F
51979,F,F,F,T,T,T,T,F,F,F,T
40505,F,T,T,F,F,F,F,T,F,F,T
37098,T,T,F,F,F,F,F,F,T,F,F
29524,F,F,F,T,F,F,F,F,F,F,F
63452,F,F,F,T,T,T,T,F,F,F,F
20158,F,F,F,F,T,F,F,F,F,T,F
70182,F,F,F,T,F,T,F,F,F,F,F
56034,T,T,F,T,F,T,T,F,F,T,F
44235,F,F,T,F,F,F,T,T,F,F,T
96881,F,F,F,T,F,F,F,F,F,T,F
27166,F,F,F,F,F,F,F,F,F,F,F
39884,F,F,F,F,F,F,F,T,F,F,F
95141,T,F,F,F,F,F,F,T,F,F,T
28110,F,F,F,F,F,T,F,F,F,F,F
85259,T,F,F,F,F,T,T,F,F,F,F
14996,F,T,T,T,F,T,F,F,F,T,T
55652,T,F,F,T,F,T,T,F,F,T,F
43964,T,F,F,T,F,F,F,T,F,F,F
51183,F,F,F,F,F,F,F,F,F,F,F
29310,F,F,F,F,F,F,F,T,T,F,F
21187,F,T,F,F,F,F,T,F,F,F,F
83536,F,F,F,F,F,F,T,F,T,T,F
95887,F,F,F,T,T,T,T,F,T,F,F
88176,F,F,T,F,F,T,F,T,T,F,T
65418,F,F,F,F,F,F,F,T,F,F,T
27766,T,F,F,F,F,F,T,F,F,F,F
66191,T,F,T,F,F,T,T,F,F,F,F
108764,F,F,F,T,F,T,T,T,F,T,F
12782,F,F,F,T,F,F,T,F,F,F,F
75118,F,F,F,F,T,F,F,F,F,F,F
58188,T,F,F,F,T,F,F,F,F,T,F
95479,F,F,F,T,T,F,F,T,F,F,T
59439,T,F,F,F,F,F,T,F,F,F,F
104903,T,F,F,F,F,F,F,T,F,F,T
44825,F,T,F,F,F,F,F,F,F,T,T
71887,F,T,F,T,F,T,T,T,F,T,T
18708,F,F,F,T,T,T,T,F,F,T,F
74423,F,F,F,F,F,F,T,F,F,F,F
97967,F,F,F,F,F,F,F,F,T,T,F
20386,F,F,T,F,F,F,F,F,F,F,F
77218,T,F,F,T,F,T,T,T,F,T,F
80137,F,F,F,F,F,F,F,F,F,F,F
84092,T,F,T,F,F,T,F,T,T,T,T
58914,F,F,F,F,F,T,F,F,F,F,F
16287,T,F,F,F,F,F,F,T,T,F,T
86044,F,F,F,T,F,T,T,T,T,F,F
36927,F,F,F,T,F,T,T,F,F,F,T
93304,F,F,F,F,F,T,F,F,F,F,T
66988,F,F,F,T,F,T,T,F,F,T,F
55091,F,F,F,F,T,F,T,F,F,F,F
64215,T,F,F,T,T,T,T,F,F,F,F
28629,F,F,F,F,F,F,T,F,F,F,T
98383,F,F,F,T,T,T,F,F,F,F,T
107505,F,F,F,F,F,F,F,F,F,F,T
99578,F,F,F,F,T,F,F,F,T,F,T
28979,F,F,F,T,F,F,F,T,F,F,T
102733,T,F,F,F,F,F,F,F,F,T,T
81690,F,F,F,F,F,F,F,T,F,F,T
25405,F,F,F,F,T,F,F,F,F,T,F
85348,F,F,F,F,T,F,F,F,F,F,F
19915,T,F,F,F,T,F,F,F,F,T,F
99387,F,T,F,F,T,F,F,F,F,F,T
32380,T,F,F,T,F,F,F,T,F,F,F
39914,T,F,T,F,F,F,F,F,F,F,F
57952,F,F,F,T,F,F,F,T,F,F,T
64239,F,F,F,T,F,T,T,T,T,F,F
38014,F,T,F,T,T,T,F,F,T,F,F
21875,T,F,F,F,F,F,F,T,F,T,F
37939,T,T,F,F,T,F,F,F,T,F,F
109061,F,T,F,F,F,F,F,T,F,F,T
100754,T,F,F,T,F,T,F,F,F,T,F
28313,T,F,F,F,F,F,F,T,F,F,T
82753,T,T,T,F,F,F,F,T,F,F,T
105412,F,F,F,F,F,F,T,F,F,F,F
42583,F,F,F,F,F,F,F,F,F,F,F
89233,F,T,F,F,F,F,F,F,F,F,F
76777,F,F,F,F,F,F,F,T,F,F,T
16220,F,F,F,T,F,T,T,F,T,F,T
17864,T,F,T,F,F,F,F,T,F,T,T
87270,F,F,T,T,T,F,F,T,F,F,F
34593,F,F,T,F,T,T,F,T,F,F,F
67697,F,F,T,F,F,T,F,F,F,F,F
32302,F,F,F,F,F,F,F,F,F,F,F
15663,F,F,F,F,F,F,T,F,F,F,F
108601,F,F,F,F,F,F,F,T,F,T,F
55951,F,F,F,F,F,F,F,T,F,F,T
39817,F,F,F,F,F,F,T,F,F,F,F
19613,F,F,F,F,T,F,F,F,F,F,F
71600,T,F,F,T,T,T,T,T,F,T,F
96561,F,F,F,F,F,F,F,F,F,F,F
90861,T,T,F,F,F,F,F,F,F,F,T
68501,T,T,F,F,F,F,F,F,T,T,F
30132,T,F,T,T,F,T,T,F,F,T,F
78639,F,F,F,F,F,F,F,F,F,T,F
46419,F,F,F,T,F,F,F,F,F,T,T
50633,F,F,F,F,F,F,F,F,F,F,T
11553,F,F,F,F,F,F,F,F,F,F,T
65853,T,F,T,F,F,F,F,F,F,F,F
47547,F,F,F,F,F,F,F,F,T,F,F
38360,F,F,F,T,F,F,F,F,F,F,F
107728,F,T,F,F,F,T,T,T,F,F,F
30390,F,F,F,F,F,F,F,F,T,F,F
75815,F,F,F,F,F,T,F,T,F,F,T
106288,F,F,F,T,F,F,F,F,F,F,T
88596,F,F,T,F,F,F,F,T,T,F,T
93469,T,F,T,T,T,T,F,F,T,T,F
34756,F,F,F,F,F,F,F,F,F,F,F
12584,T,F,F,F,F,F,T,T,F,F,T
107080,F,F,F,T,F,F,F,F,F,F,F
73651,T,T,F,F,F,F,F,F,F,F,F
54180,F,T,F,T,F,T,T,F,F,F,F
45102,T,F,F,F,F,T,F,F,F,T,F
85475,T,F,F,F,F,F,F,T,F,F,F
78363,T,F,F,T,F,T,T,T,F,F,F
23718,F,F,F,T,F,T,F,T,F,T,F
54152,F,F,F,F,F,T,T,T,F,F,F
93963,F,T,F,F,F,F,F,F,F,F,F
35561,F,F,F,F,F,T,F,F,F,F,T
30371,T,F,F,F,F,F,F,F,F,F,F
93669,F,F,F,T,F,F,F,T,F,F,T
70858,T,T,F,T,F,F,F,F,F,T,T
103147,F,F,F,T,F,F,F,F,F,F,F
80198,F,F,F,F,F,F,T,T,F,F,T
42459,F,F,F,F,T,T,F,T,T,F,T
36631,F,F,F,F,F,F,F,F,F,F,F
43800,F,F,F,T,F,F,T,T,F,F,T
60240,F,F,F,F,F,F,F,F,F,F,F
29640,F,F,F,T,T,T,F,T,F,F,F
109000,F,F,F,T,T,F,F,T,T,F,F
108739,T,F,F,F,F,F,F,T,T,F,T
104165,F,F,F,F,F,F,F,T,F,F,F
73630,F,F,F,T,T,F,F,T,F,F,F
25765,F,F,F,F,F,F,F,T,F,F,T
84903,T,F,F,F,F,T,F,F,T,T,F
99347,F,T,T,T,F,F,F,T,F,F,T
41157,T,F,T,F,T,T,F,F,T,F,F
20325,F,T,T,F,F,T,F,T,F,F,F
71462,F,T,F,F,F,F,F,T,F,F,T
91928,T,F,F,F,T,F,F,T,T,T,T
80306,F,F,T,F,T,T,T,T,F,F,F
78113,T,F,F,T,F,F,F,T,F,F,F
95488,T,F,T,F,F,F,F,F,F,F,F
27720,F,F,F,F,F,T,F,F,F,T,F
76264,T,T,F,F,F,F,F,F,F,T,F
38477,F,T,F,F,F,F,F,F,F,F,T
43557,T,F,F,F,F,F,F,F,F,F,F
10609,T,F,F,F,F,F,F,F,F,T,F
73259,T,F,F,F,T,F,F,F,F,F,F
18920,F,F,F,T,F,F,F,T,T,F,F
39581,F,F,F,F,F,F,F,F,F,F,F
14912,F,F,F,T,F,T,T,T,F,F,F
80438,F,F,F,F,F,F,F,T,F,F,T
81034,F,T,F,T,T,T,T,F,F,F,F
89250,F,T,F,F,T,F,F,T,F,F,T
96982,T,F,F,T,F,T,T,F,F,F,F
89872,F,F,F,F,F,F,T,F,F,F,F
71140,F,F,F,F,F,F,T,F,F,F,F
83650,F,F,F,F,F,F,F,F,F,T,F
14891,F,F,F,T,F,F,F,F,F,F,F
83523,F,F,F,F,F,F,F,F,F,F,F
48896,F,F,F,F,F,F,F,F,F,F,F
68438,T,F,F,F,F,F,F,F,F,F,T
86681,F,F,F,F,F,F,F,F,F,F,F
66267,T,T,T,F,F,F,T,T,F,T,T
87975,F,F,T,F,F,F,F,F,F,T,F
39970,F,F,F,T,F,T,T,F,F,F,F
104111,F,F,T,F,F,F,F,F,F,T,T
92209,F,T,T,F,T,F,F,F,F,F,F
66711,F,F,T,F,F,F,F,F,F,F,F
102215,F,F,F,T,F,T,T,F,F,F,F
34750,T,F,F,T,T,F,T,F,F,F,F
62060,F,F,F,T,F,T,T,F,F,F,F
25524,F,F,F,T,T,T,F,F,F,F,F
45992,F,F,F,F,F,F,F,F,F,F,F
47341,T,F,F,F,F,T,F,F,F,T,T
67799,T,F,F,F,F,T,F,F,F,T,T
47136,F,F,F,F,F,F,F,F,F,T,F
17375,F,F,F,F,T,F,F,F,F,F,F
40789,T,F,T,F,F,F,F,F,F,T,T
27673,F,F,T,F,F,T,T,T,F,F,T
45375,F,F,F,F,T,T,F,F,F,F,F
58341,F,F,F,T,T,F,F,F,F,F,F
37523,T,T,T,T,F,F,F,T,T,T,F
84042,F,T,F,T,T,T,T,F,F,F,F
64561,F,F,F,F,T,F,F,F,T,F,F
71078,F,F,F,F,F,F,F,F,F,F,F
43044,T,T,F,F,F,F,F,F,T,F,F
32369,F,F,F,T,F,F,F,F,F,F,T
31552,T,F,T,F,F,F,F,F,F,F,T
41805,F,F,F,T,F,T,T,F,F,T,T
46686,F,F,T,F,F,F,F,F,F,F,F
95896,F,F,F,F,F,F,F,T,F,F,F
63829,F,F,F,F,F,F,T,F,F,F,T
84180,F,F,F,T,F,T,T,F,F,F,F
91972,T,F,F,F,F,T,F,T,F,T,T
40542,F,F,F,F,F,F,F,F,F,F,F
44452,T,F,F,F,T,F,T,F,F,F,F
87151,F,F,T,F,T,T,F,T,F,T,T
23501,F,F,F,F,F,F,F,T,T,T,T
25387,F,F,F,F,F,F,F,F,F,F,F
96584,T,F,F,F,F,F,F,F,T,F,F
15306,F,F,F,T,T,T,T,F,F,F,F
93920,F,T,F,T,F,T,T,T,F,F,F
103316,F,T,F,F,F,F,F,F,F,F,T
17110,F,F,F,T,T,T,T,F,F,F,F
71652,F,F,T,T,F,T,T,F,F,F,F
67211,F,F,F,F,F,F,F,F,F,F,F
88886,F,F,F,T,F,F,F,F,F,F,F
29224,T,F,F,F,T,F,T,T,F,T,T
46005,F,F,F,F,F,F,F,F,F,F,F
43111,F,F,T,T,F,F,F,F,T,F,F
18126,T,F,F,T,F,F,F,T,T,T,F
87101,T,F,F,F,T,T,F,F,F,T,T
102934,T,F,F,F,F,F,F,T,F,F,T
100328,F,T,F,T,F,T,T,F,F,T,F
94108,F,F,T,F,F,F,F,T,T,F,F
47913,F,F,T,F,F,F,F,T,F,F,T
17809,F,F,F,F,F,F,F,F,F,F,T
45019,F,T,F,F,F,F,F,F,F,F,F
55552,T,F,F,F,F,F,F,F,F,T,F
92883,T,F,F,F,F,F,F,F,F,F,F
89649,T,F,F,F,F,F,F,F,F,T,T
38063,T,F,F,F,F,F,F,T,F,T,T
11230,F,F,T,F,F,F,F,F,F,T,T
89302,F,F,F,F,F,F,F,F,F,T,F
35707,F,F,F,F,F,F,F,F,T,T,F
90264,T,F,F,F,F,F,F,F,F,T,F
79875,F,T,F,F,F,F,F,F,F,F,F
74463,F,F,F,T,F,T,F,F,T,F,F
56258,T,F,F,F,F,F,F,T,T,F,F
81836,F,F,F,F,F,T,F,F,T,T,F
95026,F,F,T,F,F,F,F,F,F,T,T
87482,T,F,F,F,T,T,F,T,F,F,F
20556,T,F,F,F,F,F,T,F,F,T,F
68058,T,F,T,F,F,F,F,T,F,T,T
23845,F,F,T,F,F,F,T,F,F,F,F
39952,F,F,F,T,F,T,T,F,T,F,F
33172,F,T,F,F,F,F,F,F,F,F,T
71254,F,T,F,F,F,T,F,F,F,F,F
36190,F,F,F,T,F,T,T,F,T,F,F
15099,T,F,F,T,F,T,T,F,F,T,F
100256,F,F,F,T,F,T,T,T,F,F,F
51384,F,F,F,F,F,F,F,F,F,T,F
54190,F,F,F,F,F,F,F,F,F,F,F
84756,F,F,F,F,F,F,F,F,F,T,T
28755,F,F,F,F,F,F,F,F,F,T,T
73480,F,F,F,T,F,T,T,F,F,F,T
86217,F,F,F,T,F,T,T,F,F,F,F
91055,F,F,T,F,F,F,F,F,T,F,F
80297,T,F,F,F,F,F,F,F,F,T,F
42381,F,F,F,T,T,T,T,T,F,T,F
80954,F,F,T,T,F,T,T,F,F,F,F
106531,T,F,F,F,F,T,F,F,F,T,F
78030,F,F,F,F,T,F,F,T,F,F,T
103139,F,T,F,T,F,F,F,T,F,F,F
17939,F,F,F,F,F,T,F,F,F,F,F
42056,F,F,F,F,F,F,F,T,F,T,F
23419,F,F,F,T,T,F,F,T,T,F,F
48783,T,F,F,T,F,T,T,F,F,F,F
98204,F,F,T,T,F,T,T,F,F,F,F
67063,F,T,F,F,F,F,F,T,T,T,T
77335,F,F,F,F,F,F,F,T,T,F,T
32594,F,F,F,F,F,F,F,F,F,F,F
24493,T,T,F,F,F,F,F,F,F,T,F
72248,F,F,F,F,F,F,F,F,F,F,F
79039,F,F,T,F,F,F,F,F,F,F,F
58803,F,T,F,T,F,T,T,F,F,F,T
87066,F,F,T,F,F,F,F,F,F,T,F
60159,F,F,F,T,F,T,T,F,F,F,F
15629,F,F,F,F,F,T,F,F,F,T,F
38608,F,T,F,F,F,F,T,F,F,F,F
18143,T,F,F,F,T,T,F,F,F,F,F
22316,F,F,F,T,T,F,F,T,T,F,F
40743,F,F,T,F,F,F,F,F,F,F,F
79305,F,F,F,F,T,F,F,T,F,F,F
83439,F,F,F,F,T,F,F,T,F,T,T
16342,F,F,F,F,F,F,F,F,F,F,F
75971,T,F,T,F,F,F,F,F,F,F,F
31046,T,F,F,T,T,T,T,F,F,T,F
13722,T,T,T,F,F,F,T,F,F,T,F
93467,F,F,F,F,F,F,F,F,F,F,F
40208,T,T,F,F,T,T,F,F,F,F,F
41132,F,F,F,T,F,F,F,F,F,F,T
64596,F,T,T,F,F,F,T,F,F,T,F
46539,T,F,T,F,T,F,F,F,F,T,F
40690,F,F,F,T,F,T,F,F,T,F,F
51916,F,F,T,F,T,F,T,F,T,F,F
21814,F,F,F,T,T,T,T,F,F,F,F
31011,T,F,F,T,F,T,T,T,F,T,F
24210,F,F,F,T,F,T,F,F,F,F,F
10902,T,F,F,F,F,F,F,T,F,F,F
106649,T,F,F,F,F,F,T,F,F,T,F
31033,F,F,T,F,F,F,F,T,F,F,T
68006,F,T,F,F,F,F,F,F,F,F,F
47638,F,F,F,T,F,T,T,F,F,F,F
18953,T,F,F,F,T,F,F,F,F,T,T
21347,F,F,F,F,T,T,F,F,F,F,T
38600,F,F,F,F,F,F,F,T,F,F,T
104830,F,T,F,F,F,F,F,F,F,T,F
56452,T,T,F,F,T,F,F,F,F,F,T
18030,T,F,F,F,T,F,F,F,F,F,F
72901,F,F,F,F,F,F,T,F,F,F,F
104554,T,F,F,T,F,T,T,F,F,T,F
93162,F,F,F,F,F,F,F,F,T,T,T
54313,T,F,F,F,F,F,F,F,T,T,T
89485,F,F,F,F,T,T,F,F,F,F,F
61309,F,F,F,F,T,F,F,T,F,F,F
73441,T,F,F,F,T,F,F,F,F,T,F
10717,T,T,F,F,F,F,F,F,F,T,F
27694,F,F,T,T,T,T,T,F,T,F,F
69380,F,F,F,F,F,F,F,T,F,F,T
26885,F,F,T,T,F,T,T,F,F,F,F
90730,F,F,F,T,F,T,T,F,T,F,F
69110,T,F,F,T,T,T,T,T,F,T,T
86612,F,T,F,F,F,F,F,F,F,F,F
93353,F,F,T,T,T,F,F,T,F,F,T
25311,T,T,F,F,F,F,F,T,F,F,F
81487,F,F,T,F,F,T,T,F,F,F,F
18331,T,F,F,F,F,T,F,T,F,F,T
84148,T,F,F,F,F,F,T,T,F,T,T
83500,F,F,F,T,T,F,F,F,F,T,T
29316,F,F,F,T,F,T,T,F,T,F,F
82173,T,F,F,F,T,F,T,F,F,T,F
62264,F,F,F,F,F,F,F,F,F,F,T
14875,F,T,F,F,F,F,T,T,F,F,F
73594,F,F,T,F,F,F,F,F,F,F,F
79384,F,F,F,F,F,F,F,F,F,T,F
63138,T,F,F,F,F,T,F,F,F,T,F
58144,F,F,F,F,T,T,F,F,F,F,F
103446,F,F,T,F,T,F,F,F,F,F,F
28994,T,F,F,F,T,F,F,F,F,T,F
72298,F,F,F,F,F,F,T,F,F,F,F
69884,F,F,F,F,F,F,F,F,T,F,T
68119,F,F,F,F,T,F,F,F,T,F,T
14692,F,F,F,T,F,F,F,T,F,F,F
52530,F,F,F,F,F,F,F,F,T,F,F
28803,F,F,F,T,F,T,T,F,F,T,F
86983,T,T,F,F,T,F,F,T,F,T,T
72454,F,F,F,F,F,F,T,T,F,F,T
50551,T,F,T,T,F,T,F,F,T,F,F
92868,F,F,F,T,F,T,F,T,F,F,F
20991,F,F,F,T,F,T,T,F,F,F,F
98352,F,F,F,F,T,T,F,F,F,T,F
30239,T,F,T,F,F,F,F,F,T,F,F
15882,F,F,F,T,F,T,T,F,F,F,F
30989,F,F,F,F,F,F,F,F,F,F,T
107499,F,F,F,F,F,F,F,T,T,F,F
70336,T,F,T,F,F,F,F,F,F,F,F
47598,T,F,F,F,F,F,T,T,F,F,T
17590,F,F,F,F,F,F,F,F,F,F,F
20260,F,F,F,T,F,F,F,F,F,F,T
50531,T,T,T,F,F,F,F,F,F,F,F
42653,F,F,F,F,F,F,F,F,T,F,F
94685,F,T,T,F,F,F,F,F,F,F,F
11818,F,T,F,F,F,F,F,F,F,F,F
25668,F,F,F,F,F,F,F,T,F,F,T
53959,F,T,T,F,F,F,T,F,T,F,T
55992,F,F,F,F,T,F,F,F,T,T,F
85081,T,F,F,F,F,F,T,T,F,F,T
104800,F,F,F,F,F,F,T,F,F,F,F
92125,F,F,F,T,F,F,F,F,F,F,F
107314,F,F,F,T,F,T,T,T,F,F,F
29192,F,T,F,F,F,F,F,F,F,F,T
90933,F,F,F,F,F,F,F,F,F,F,F
48749,F,F,F,F,F,F,F,F,F,T,F
49658,F,T,F,T,F,F,F,F,T,F,T
20521,T,F,F,T,F,F,F,T,F,F,F
75663,F,T,F,F,T,F,F,F,F,F,F
65425,F,F,T,F,F,F,T,F,F,F,F
67133,F,F,F,T,F,T,F,T,F,F,T
62455,F,F,F,F,F,F,F,F,F,T,F
100255,F,F,F,F,F,F,F,T,F,F,F
15590,T,F,F,T,F,F,F,F,F,T,F
46278,T,T,F,T,F,F,T,F,F,F,F
12582,T,T,F,F,F,F,T,T,F,T,F
38723,T,F,F,F,F,F,T,F,T,T,F
47251,T,T,F,T,F,F,F,T,T,T,T
109798,F,F,F,F,F,T,F,F,F,F,F
59349,T,F,F,T,F,T,T,F,T,F,F
17830,T,F,F,F,T,F,T,F,F,T,F
69401,T,F,F,F,T,F,F,T,F,F,T
103708,F,F,F,F,F,F,F,T,F,T,F
27664,T,F,T,F,T,T,F,F,T,T,F
102206,T,F,F,T,F,F,F,F,F,F,F
51732,F,T,F,T,F,T,T,F,F,F,F
28630,F,F,F,F,T,F,F,F,F,T,F
36857,F,T,F,F,F,F,F,F,F,F,F
82419,F,T,F,T,F,F,T,F,F,F,F
103385,T,T,F,T,F,T,T,F,F,T,F
87793,F,F,F,F,F,T,F,T,F,T,T
94341,F,F,F,T,F,T,T,T,F,F,F
19078,T,F,F,F,F,F,F,F,F,F,T
109376,F,F,F,F,F,F,F,T,F,F,F
58235,F,F,F,T,F,F,F,T,F,F,T
33233,F,T,F,F,F,F,F,T,F,F,F
83883,F,F,F,F,F,F,F,T,F,F,T
