CUST_ID,TRANSACTION_ID,PRODUCT_ID,ITEM_NAME,LINE,CATEGORY,NUMBER_OF_ITEMS,RRP,TOTAL_AMOUNT,TRANSACTION_TIME
850,25661,3199,Elie Tahari Scarlett Sleeveless Blouse,Clothes,Clothes,1,899.99,899.99,11/1/2010
769,31315,3200,Elie Tahari Watercolor Maxi Dress,Clothes,Clothes,1,539.99,539.99,11/1/2010
710,8506,3201,Elie Tahari Waterfall Maxi Dress,Clothes,Clothes,2,699.99,1399.98,11/1/2010
603,14596,3202,Elie Tahari Hawaii Sunset Maxi Dress,Clothes,Clothes,1,499.99,499.99,11/1/2010
983,37625,3203,Elie Tahari White Career Blouse,Clothes,Clothes,2,449.99,899.98,11/1/2010
742,2279,3204,Nike Women's Hyperspike Shoe,Clothes,Clothes,1,779.99,779.99,11/1/2010
126,9897,3205,Nike Women's Air Max Running Shoe,Clothes,Clothes,1,239.99,239.99,11/1/2010
409,17577,3206,Nike Women's Free 5.0 Running Shoe,Clothes,Clothes,1,999.99,999.99,11/1/2010
724,25047,3209,Nike  Women's Air Max,Clothes,Clothes,1,179.99,179.99,11/1/2010
607,11942,3210,Nike Juvenate Women's Gold Shoes,Clothes,Clothes,1,999.99,999.99,11/1/2010
459,14545,3211,Nike Women Comfort+ Running Sneakers,Clothes,Clothes,1,499.99,499.99,11/1/2010
707,21972,3212,Nike Women Free Running Sneakers,Clothes,Clothes,1,319.99,319.99,11/1/2010
766,30088,3213,Ralph Lauren Hooded Pullover,Clothes,Clothes,1,599.99,599.99,11/1/2010
577,13564,3214,Ralph Lauren Cotton Indigo Sweater ,Clothes,Clothes,2,314.99,629.98,11/1/2010
419,24507,6177,Ralph Lauren Cotton Raglan Sweater,Clothes,Clothes,1,179.99,179.99,11/1/2010
490,727,6178,Ralph Lauren Cashmere Sweater,Clothes,Clothes,1,599.99,599.99,11/1/2010
952,33379,6179,Ralph Lauren Ribbed Cotton Sweater,Clothes,Clothes,1,1299.99,1299.99,11/1/2010
687,15492,6180,Ralph Lauren Sport Cable Knit Sweater,Clothes,Clothes,1,399.99,399.99,11/1/2010
891,23109,6181,Guess Women's Full Collar Short Down Jacket,Clothes,Clothes,1,449.99,449.99,11/1/2010
415,8006,6182,Guess Women's Wrap Coat,Clothes,Clothes,1,1299.99,1299.99,11/1/2010
604,32459,6183,Guess Women's Quilted Jacket,Clothes,Clothes,1,599.99,599.99,11/1/2010
89,25954,6184,Guess Women's Moto Jacket,Clothes,Clothes,1,599.99,599.99,11/1/2010
846,29680,6185,Guess Women's Jean Jacket,Clothes,Clothes,1,299.99,299.99,11/1/2010
477,29346,6186,Guess Women's Skinny Jeans,Clothes,Clothes,2,299.99,599.98,11/1/2010
419,31585,6187,Guess Women's Boot Cut Jeans,Clothes,Clothes,1,299.99,299.99,11/1/2010
870,12194,6188,Guess Women's Mid-rise Jeans,Clothes,Clothes,1,299.99,299.99,11/1/2010
559,11482,6191,Tommy Hilfiger Jacquard Tote,Clothes,Clothes,2,399.99,799.98,11/1/2010
514,12168,6192,Tommy Arianna Tote,Clothes,Clothes,1,399.99,399.99,11/1/2010
837,26589,6193,Tommy Hilfiger Everyday Tote,Clothes,Clothes,1,239.99,239.99,11/1/2010
862,39607,6194,Tommy Hilfiger Alexa purse ,Clothes,Clothes,1,299.99,299.99,11/2/2010
799,3387,6195,Elie Tahari Jocelyn Dress,Clothes,Clothes,1,584.99,584.99,11/2/2010
562,3598,6196,Elie Tahari Emory Dress,Clothes,Clothes,1,149.99,149.99,11/2/2010
609,15770,6197,Elie Tahari Ophelia Dress,Clothes,Clothes,1,699.99,699.99,11/2/2010
453,32584,6198,Elie Tahari Gwenyth Dress,Clothes,Clothes,1,429.99,429.99,11/2/2010
860,24395,6199,Adidas Black Running Tights,Clothes,Clothes,2,149.99,299.98,11/2/2010
897,40710,6200,Adidas Originals Black Hoodie,Clothes,Clothes,1,1199.99,1199.99,11/2/2010
421,17090,6201,Adidas Originals Grey Hoodie,Clothes,Clothes,1,449.99,449.99,11/2/2010
773,33443,6202,Adidas Originals Classic White Sweatshirt,Clothes,Clothes,1,149.99,149.99,11/2/2010
959,27955,6203,Adidas Originals Classic Black Sweatshirt,Clothes,Clothes,1,199.99,199.99,11/2/2010
480,10844,6204,Adidas Originals Classic Grey Sweatshirt,Clothes,Clothes,1,134.99,134.99,11/2/2010
835,27298,6205,Adidas Originals Grey Running Tights,Clothes,Clothes,1,599.99,599.99,11/2/2010
922,34917,6206,Adidas Training Pant - Black,Clothes,Clothes,1,1199.99,1199.99,11/2/2010
296,28426,6209,Adidas Training Pant - White,Clothes,Clothes,1,599.99,599.99,11/2/2010
183,28033,6210,Adidas Classic 3-stripe pant,Clothes,Clothes,1,699.99,699.99,11/2/2010
933,11569,6211,Adidas Classic 3-stripe pant - blue,Clothes,Clothes,1,299.99,299.99,11/2/2010
139,42882,6212,Elie Tahari Lace Dress,Clothes,Clothes,1,699.99,699.99,11/2/2010
84,25210,6213,Adidas Training Pant - Black,Clothes,Clothes,2,319.99,639.98,11/2/2010
291,21918,6214,Adidas Originals Grey Running Tights,Clothes,Clothes,2,229.99,459.98,11/2/2010
886,2460,3177,Anastasia Beverly Hills Dress,Clothes,Clothes,1,649.99,649.99,11/2/2010
452,37959,3178,Guess Fit and Flair Dress,Clothes,Clothes,2,449.99,899.98,11/2/2010
427,20143,3179,Bar III Cropped Jacket,Clothes,Clothes,2,899.99,1799.98,11/2/2010
532,24457,3180,Anne Klein Fayza Dress Shoes,Clothes,Clothes,2,599.99,1199.98,11/2/2010
540,357,3181,Anne Klein Barb Dress Shoes,Clothes,Clothes,1,599.99,599.99,11/2/2010
746,6241,3182,Calvin Klein Gayle High Heel Shoes,Clothes,Clothes,1,429.99,429.99,11/2/2010
49,40597,3183,Calvin Klein Catherine High Heel Shoes,Clothes,Clothes,1,278.99,278.99,11/2/2010
738,28857,3184,Calvin Klein Zipper Sheath Dress,Clothes,Clothes,1,399.99,399.99,11/2/2010
19,29069,3185,Calvin Klein Sleevess Belted Striped Dress,Clothes,Clothes,1,999.99,999.99,11/2/2010
694,10956,3186,Calvin Klein Horseshoe Neckline Dress,Clothes,Clothes,1,199.99,199.99,11/2/2010
490,4456,3187,Calvin Klein Textured Sheath Dress,Clothes,Clothes,1,899.99,899.99,11/2/2010
311,29850,3188,Elie Tahari Women's Kyle Knit Dress,Clothes,Clothes,2,249.99,499.98,11/2/2010
436,1120,3191,Elie Tahari Women's Kyle Twist Knit Dress,Clothes,Clothes,1,999.99,999.99,11/2/2010
801,42841,3192,Nike Women's Black Leggings,Clothes,Clothes,2,229.99,459.98,11/2/2010
15,11419,3193,Nike Women's Blue Leggings,Clothes,Clothes,1,1199.99,1199.99,11/2/2010
1,27360,3194,Nike Women's Miulticolor Leggings,Clothes,Clothes,2,429.99,859.98,11/2/2010
431,19457,3195,Nike Women's Flash Running Tights,Clothes,Clothes,1,499.99,499.99,11/2/2010
786,9704,3196,Elie Tahari One Button Jacket,Clothes,Clothes,1,399.99,399.99,11/2/2010
187,39613,3197,Elie Tahari Eggplant Career Suit,Clothes,Clothes,2,629.99,1259.98,11/2/2010
916,13056,3198,Elie Tahari Black Career Suit,Clothes,Clothes,2,179.99,359.98,11/2/2010
272,30158,3199,Elie Tahari Scarlett Sleeveless Blouse,Clothes,Clothes,1,449.99,449.99,11/2/2010
887,22740,3200,Elie Tahari Watercolor Maxi Dress,Clothes,Clothes,1,479.99,479.99,11/2/2010
520,20862,3201,Elie Tahari Waterfall Maxi Dress,Clothes,Clothes,1,1199.99,1199.99,11/2/2010
61,29602,3202,Elie Tahari Hawaii Sunset Maxi Dress,Clothes,Clothes,1,599.99,599.99,11/3/2010
968,33138,3203,Elie Tahari White Career Blouse,Clothes,Clothes,1,399.99,399.99,11/3/2010
180,18248,3204,Nike Women's Hyperspike Shoe,Clothes,Clothes,1,179.99,179.99,11/3/2010
726,1728,3205,Nike Women's Air Max Running Shoe,Clothes,Clothes,2,1199.99,2399.98,11/3/2010
922,4861,3206,Nike Women's Free 5.0 Running Shoe,Clothes,Clothes,1,1299.99,1299.99,11/3/2010
398,25972,3209,Nike  Women's Air Max,Clothes,Clothes,1,299.99,299.99,11/3/2010
402,42967,3210,Nike Juvenate Women's Gold Shoes,Clothes,Clothes,1,299.99,299.99,11/3/2010
802,35474,3211,Nike Women Comfort+ Running Sneakers,Clothes,Clothes,1,229.99,229.99,11/3/2010
612,42809,3212,Nike Women Free Running Sneakers,Clothes,Clothes,1,779.99,779.99,11/3/2010
77,11498,3213,Ralph Lauren Hooded Pullover,Clothes,Clothes,1,299.99,299.99,11/3/2010
934,6450,3214,Ralph Lauren Cotton Indigo Sweater ,Clothes,Clothes,2,299.99,599.98,11/3/2010
461,31828,6177,Ralph Lauren Cotton Raglan Sweater,Clothes,Clothes,1,599.99,599.99,11/3/2010
140,4503,6178,Ralph Lauren Cashmere Sweater,Clothes,Clothes,1,399.99,399.99,11/3/2010
999,14609,6179,Ralph Lauren Ribbed Cotton Sweater,Clothes,Clothes,1,449.99,449.99,11/3/2010
515,29644,6180,Ralph Lauren Sport Cable Knit Sweater,Clothes,Clothes,2,299.99,599.98,11/3/2010
413,13031,6181,Guess Women's Full Collar Short Down Jacket,Clothes,Clothes,1,449.99,449.99,11/3/2010
879,27652,6182,Guess Women's Wrap Coat,Clothes,Clothes,1,399.99,399.99,11/3/2010
742,40564,6183,Guess Women's Quilted Jacket,Clothes,Clothes,1,149.99,149.99,11/3/2010
742,27406,6184,Guess Women's Moto Jacket,Clothes,Clothes,1,999.99,999.99,11/3/2010
742,27380,6185,Guess Women's Jean Jacket,Clothes,Clothes,1,1299.99,1299.99,11/3/2010
909,7083,6186,Guess Women's Skinny Jeans,Clothes,Clothes,2,149.99,299.98,11/3/2010
895,33666,6187,Guess Women's Boot Cut Jeans,Clothes,Clothes,1,399.99,399.99,11/3/2010
380,15937,6188,Guess Women's Mid-rise Jeans,Clothes,Clothes,1,999.99,999.99,11/3/2010
603,13937,6191,Tommy Hilfiger Jacquard Tote,Clothes,Clothes,2,429.99,859.98,11/3/2010
738,12832,6192,Tommy Arianna Tote,Clothes,Clothes,1,249.99,249.99,11/3/2010
885,24171,6193,Tommy Hilfiger Everyday Tote,Clothes,Clothes,1,149.99,149.99,11/3/2010
856,41134,6194,Tommy Hilfiger Alexa purse ,Clothes,Clothes,1,499.99,499.99,11/3/2010
217,40123,6195,Elie Tahari Jocelyn Dress,Clothes,Clothes,2,239.99,479.98,11/3/2010
846,19579,6196,Elie Tahari Emory Dress,Clothes,Clothes,1,584.99,584.99,11/3/2010
614,41477,6197,Elie Tahari Ophelia Dress,Clothes,Clothes,1,249.99,249.99,11/3/2010
993,40261,6198,Elie Tahari Gwenyth Dress,Clothes,Clothes,1,399.99,399.99,11/3/2010
710,25020,6199,Adidas Black Running Tights,Clothes,Clothes,1,584.99,584.99,11/3/2010
233,28332,6200,Adidas Originals Black Hoodie,Clothes,Clothes,2,399.99,799.98,11/3/2010
487,20683,6201,Adidas Originals Grey Hoodie,Clothes,Clothes,1,699.99,699.99,11/3/2010
506,25953,6202,Adidas Originals Classic White Sweatshirt,Clothes,Clothes,1,429.99,429.99,11/3/2010
7,21172,6203,Adidas Originals Classic Black Sweatshirt,Clothes,Clothes,1,149.99,149.99,11/3/2010
531,11638,6204,Adidas Originals Classic Grey Sweatshirt,Clothes,Clothes,1,449.99,449.99,11/3/2010
819,8123,6205,Adidas Originals Grey Running Tights,Clothes,Clothes,1,499.99,499.99,11/3/2010
473,3265,6206,Adidas Training Pant - Black,Clothes,Clothes,2,429.99,859.98,11/3/2010
694,40637,6209,Adidas Training Pant - White,Clothes,Clothes,1,599.99,599.99,11/3/2010
109,5995,6210,Adidas Classic 3-stripe pant,Clothes,Clothes,1,429.99,429.99,11/3/2010
732,29755,6211,Adidas Classic 3-stripe pant - blue,Clothes,Clothes,1,449.99,449.99,11/3/2010
456,36343,6212,Elie Tahari Lace Dress,Clothes,Clothes,1,1039.99,1039.99,11/3/2010
584,37050,6213,Adidas Training Pant - Black,Clothes,Clothes,1,899.99,899.99,11/3/2010
44,30463,6214,Adidas Originals Grey Running Tights,Clothes,Clothes,1,899.99,899.99,11/3/2010
805,34771,3177,Anastasia Beverly Hills Dress,Clothes,Clothes,1,499.99,499.99,11/3/2010
715,5193,3178,Guess Fit and Flair Dress,Clothes,Clothes,2,599.99,1199.98,11/3/2010
795,22663,3179,Bar III Cropped Jacket,Clothes,Clothes,1,194.99,194.99,11/3/2010
559,28705,3180,Anne Klein Fayza Dress Shoes,Clothes,Clothes,1,629.99,629.99,11/4/2010
896,11197,3181,Anne Klein Barb Dress Shoes,Clothes,Clothes,1,1199.99,1199.99,11/4/2010
715,23112,3182,Calvin Klein Gayle High Heel Shoes,Clothes,Clothes,1,629.99,629.99,11/4/2010
594,40262,3183,Calvin Klein Catherine High Heel Shoes,Clothes,Clothes,1,449.99,449.99,11/4/2010
821,13957,3184,Calvin Klein Zipper Sheath Dress,Clothes,Clothes,1,149.99,149.99,11/4/2010
171,20641,3185,Calvin Klein Sleevess Belted Striped Dress,Clothes,Clothes,1,279.99,279.99,11/4/2010
419,16244,3186,Calvin Klein Horseshoe Neckline Dress,Clothes,Clothes,2,584.99,1169.98,11/4/2010
185,39918,3187,Calvin Klein Textured Sheath Dress,Clothes,Clothes,1,1199.99,1199.99,11/4/2010
516,2531,3188,Elie Tahari Women's Kyle Knit Dress,Clothes,Clothes,2,449.99,899.98,11/4/2010
789,38068,3191,Elie Tahari Women's Kyle Twist Knit Dress,Clothes,Clothes,2,399.99,799.98,11/4/2010
901,23559,3192,Nike Women's Black Leggings,Clothes,Clothes,3,249.99,749.97,11/4/2010
484,16068,3193,Nike Women's Blue Leggings,Clothes,Clothes,2,179.99,359.98,11/4/2010
544,19804,3194,Nike Women's Miulticolor Leggings,Clothes,Clothes,1,599.99,599.99,11/4/2010
185,1795,3195,Nike Women's Flash Running Tights,Clothes,Clothes,1,179.99,179.99,11/4/2010
490,12078,3196,Elie Tahari One Button Jacket,Clothes,Clothes,1,229.99,229.99,11/4/2010
873,8585,3197,Elie Tahari Eggplant Career Suit,Clothes,Clothes,1,149.99,149.99,11/4/2010
206,27732,3198,Elie Tahari Black Career Suit,Clothes,Clothes,2,239.99,479.98,11/4/2010
212,3382,3199,Elie Tahari Scarlett Sleeveless Blouse,Clothes,Clothes,1,999.99,999.99,11/4/2010
386,23551,3200,Elie Tahari Watercolor Maxi Dress,Clothes,Clothes,1,299.99,299.99,11/4/2010
110,31569,3201,Elie Tahari Waterfall Maxi Dress,Clothes,Clothes,2,299.99,599.98,11/4/2010
456,25915,3202,Elie Tahari Hawaii Sunset Maxi Dress,Clothes,Clothes,2,299.99,599.98,11/4/2010
300,15341,3203,Elie Tahari White Career Blouse,Clothes,Clothes,1,299.99,299.99,11/4/2010
740,7183,3204,Nike Women's Hyperspike Shoe,Clothes,Clothes,1,299.99,299.99,11/4/2010
527,14955,3205,Nike Women's Air Max Running Shoe,Clothes,Clothes,2,599.99,1199.98,11/4/2010
481,34546,3206,Nike Women's Free 5.0 Running Shoe,Clothes,Clothes,1,449.99,449.99,11/4/2010
727,34241,3209,Nike  Women's Air Max,Clothes,Clothes,1,449.99,449.99,11/4/2010
409,14694,3210,Nike Juvenate Women's Gold Shoes,Clothes,Clothes,2,599.99,1199.98,11/4/2010
823,23556,3211,Nike Women Comfort+ Running Sneakers,Clothes,Clothes,1,599.99,599.99,11/4/2010
404,26411,3212,Nike Women Free Running Sneakers,Clothes,Clothes,2,639.99,1279.98,11/4/2010
806,6882,3213,Ralph Lauren Hooded Pullover,Clothes,Clothes,1,639.99,639.99,11/4/2010
476,12781,3214,Ralph Lauren Cotton Indigo Sweater ,Clothes,Clothes,2,779.99,1559.98,11/4/2010
987,29374,6177,Ralph Lauren Cotton Raglan Sweater,Clothes,Clothes,2,449.99,899.98,11/4/2010
817,26486,6178,Ralph Lauren Cashmere Sweater,Clothes,Clothes,1,499.99,499.99,11/4/2010
512,42226,6179,Ralph Lauren Ribbed Cotton Sweater,Clothes,Clothes,2,449.99,899.98,11/4/2010
697,22940,6180,Ralph Lauren Sport Cable Knit Sweater,Clothes,Clothes,1,1099.99,1099.99,11/4/2010
774,12623,6181,Guess Women's Full Collar Short Down Jacket,Clothes,Clothes,1,314.99,314.99,11/4/2010
658,25227,6182,Guess Women's Wrap Coat,Clothes,Clothes,1,449.99,449.99,11/4/2010
847,18553,6183,Guess Women's Quilted Jacket,Clothes,Clothes,1,194.99,194.99,11/4/2010
206,3211,6184,Guess Women's Moto Jacket,Clothes,Clothes,1,278.99,278.99,11/4/2010
143,5063,6185,Guess Women's Jean Jacket,Clothes,Clothes,2,1199.99,2399.98,11/4/2010
903,39404,6186,Guess Women's Skinny Jeans,Clothes,Clothes,1,399.99,399.99,11/4/2010
826,34157,6187,Guess Women's Boot Cut Jeans,Clothes,Clothes,1,429.99,429.99,11/4/2010
141,25738,6188,Guess Women's Mid-rise Jeans,Clothes,Clothes,2,539.99,1079.98,11/4/2010
892,31624,6191,Tommy Hilfiger Jacquard Tote,Clothes,Clothes,1,1199.99,1199.99,11/5/2010
509,32891,6192,Tommy Arianna Tote,Clothes,Clothes,1,149.99,149.99,11/5/2010
969,28697,6193,Tommy Hilfiger Everyday Tote,Clothes,Clothes,1,449.99,449.99,11/5/2010
27,29546,6194,Tommy Hilfiger Alexa purse ,Clothes,Clothes,1,449.99,449.99,11/5/2010
561,996,6195,Elie Tahari Jocelyn Dress,Clothes,Clothes,1,399.99,399.99,11/5/2010
402,37528,6196,Elie Tahari Emory Dress,Clothes,Clothes,2,149.99,299.98,11/5/2010
687,5700,6197,Elie Tahari Ophelia Dress,Clothes,Clothes,1,186.99,186.99,11/5/2010
869,2153,6198,Elie Tahari Gwenyth Dress,Clothes,Clothes,1,449.99,449.99,11/5/2010
389,37204,6199,Adidas Black Running Tights,Clothes,Clothes,1,649.99,649.99,11/5/2010
706,9824,6200,Adidas Originals Black Hoodie,Clothes,Clothes,1,1099.99,1099.99,11/5/2010
548,10079,6201,Adidas Originals Grey Hoodie,Clothes,Clothes,1,449.99,449.99,11/5/2010
665,3672,6202,Adidas Originals Classic White Sweatshirt,Clothes,Clothes,1,429.99,429.99,11/5/2010
658,14869,6203,Adidas Originals Classic Black Sweatshirt,Clothes,Clothes,2,239.99,479.98,11/5/2010
474,11277,6204,Adidas Originals Classic Grey Sweatshirt,Clothes,Clothes,3,1299.99,3899.97,11/5/2010
410,12472,6205,Adidas Originals Grey Running Tights,Clothes,Clothes,2,1299.99,2599.98,11/5/2010
722,38273,6206,Adidas Training Pant - Black,Clothes,Clothes,2,999.99,1999.98,11/5/2010
614,34291,6209,Adidas Training Pant - White,Clothes,Clothes,1,199.99,199.99,11/5/2010
912,9400,6210,Adidas Classic 3-stripe pant,Clothes,Clothes,1,599.99,599.99,11/5/2010
102,454,6211,Adidas Classic 3-stripe pant - blue,Clothes,Clothes,1,449.99,449.99,11/5/2010
883,41255,6212,Elie Tahari Lace Dress,Clothes,Clothes,1,599.99,599.99,11/5/2010
494,6363,6213,Adidas Training Pant - Black,Clothes,Clothes,1,179.99,179.99,11/5/2010
441,31762,6214,Adidas Originals Grey Running Tights,Clothes,Clothes,1,429.99,429.99,11/5/2010
940,35996,3177,Anastasia Beverly Hills Dress,Clothes,Clothes,1,449.99,449.99,11/5/2010
283,24750,3178,Guess Fit and Flair Dress,Clothes,Clothes,1,179.99,179.99,11/5/2010
355,12386,3179,Bar III Cropped Jacket,Clothes,Clothes,1,249.99,249.99,11/5/2010
572,7347,3180,Anne Klein Fayza Dress Shoes,Clothes,Clothes,2,499.99,999.98,11/5/2010
193,42026,3181,Anne Klein Barb Dress Shoes,Clothes,Clothes,1,449.99,449.99,11/5/2010
805,23702,3182,Calvin Klein Gayle High Heel Shoes,Clothes,Clothes,2,399.99,799.98,11/5/2010
567,36839,3183,Calvin Klein Catherine High Heel Shoes,Clothes,Clothes,1,149.99,149.99,11/5/2010
741,9585,3184,Calvin Klein Zipper Sheath Dress,Clothes,Clothes,1,324.99,324.99,11/5/2010
951,824,3185,Calvin Klein Sleevess Belted Striped Dress,Clothes,Clothes,1,104.99,104.99,11/5/2010
728,23677,3186,Calvin Klein Horseshoe Neckline Dress,Clothes,Clothes,1,199.99,199.99,11/5/2010
877,15613,3187,Calvin Klein Textured Sheath Dress,Clothes,Clothes,1,399.99,399.99,11/5/2010
574,13525,3188,Elie Tahari Women's Kyle Knit Dress,Clothes,Clothes,2,324.99,649.98,11/5/2010
77,11167,3191,Elie Tahari Women's Kyle Twist Knit Dress,Clothes,Clothes,1,1099.99,1099.99,11/5/2010
163,4703,3192,Nike Women's Black Leggings,Clothes,Clothes,1,399.99,399.99,11/5/2010
795,8411,3193,Nike Women's Blue Leggings,Clothes,Clothes,2,599.99,1199.98,11/5/2010
825,8942,3194,Nike Women's Miulticolor Leggings,Clothes,Clothes,2,499.99,999.98,11/5/2010
375,2330,3195,Nike Women's Flash Running Tights,Clothes,Clothes,1,194.99,194.99,11/5/2010
3,5421,3196,Elie Tahari One Button Jacket,Clothes,Clothes,1,1199.99,1199.99,11/5/2010
647,8578,3197,Elie Tahari Eggplant Career Suit,Clothes,Clothes,1,429.99,429.99,11/5/2010
720,1200,3198,Elie Tahari Black Career Suit,Clothes,Clothes,1,779.99,779.99,11/5/2010
835,32313,3199,Elie Tahari Scarlett Sleeveless Blouse,Clothes,Clothes,1,299.99,299.99,11/5/2010
328,5714,3200,Elie Tahari Watercolor Maxi Dress,Clothes,Clothes,1,559.99,559.99,11/5/2010
39,14047,3201,Elie Tahari Waterfall Maxi Dress,Clothes,Clothes,1,699.99,699.99,11/5/2010
360,14058,3202,Elie Tahari Hawaii Sunset Maxi Dress,Clothes,Clothes,2,229.99,459.98,11/5/2010
881,30404,3203,Elie Tahari White Career Blouse,Clothes,Clothes,1,299.99,299.99,11/5/2010
833,27978,3204,Nike Women's Hyperspike Shoe,Clothes,Clothes,2,639.99,1279.98,11/5/2010
509,31121,3205,Nike Women's Air Max Running Shoe,Clothes,Clothes,1,699.99,699.99,11/5/2010
321,17731,3206,Nike Women's Free 5.0 Running Shoe,Clothes,Clothes,1,999.99,999.99,11/5/2010
106,21653,3209,Nike  Women's Air Max,Clothes,Clothes,1,499.99,499.99,11/5/2010
849,9450,3210,Nike Juvenate Women's Gold Shoes,Clothes,Clothes,1,1019.99,1019.99,11/5/2010
905,19089,3211,Nike Women Comfort+ Running Sneakers,Clothes,Clothes,1,499.99,499.99,11/6/2010
584,25521,3212,Nike Women Free Running Sneakers,Clothes,Clothes,2,429.99,859.98,11/6/2010
275,24212,3213,Ralph Lauren Hooded Pullover,Clothes,Clothes,1,399.99,399.99,11/6/2010
882,40165,3214,Ralph Lauren Cotton Indigo Sweater ,Clothes,Clothes,1,699.99,699.99,11/6/2010
830,32281,6177,Ralph Lauren Cotton Raglan Sweater,Clothes,Clothes,1,186.99,186.99,11/6/2010
56,8987,6178,Ralph Lauren Cashmere Sweater,Clothes,Clothes,1,499.99,499.99,11/6/2010
296,38295,6179,Ralph Lauren Ribbed Cotton Sweater,Clothes,Clothes,1,599.99,599.99,11/6/2010
452,30403,6180,Ralph Lauren Sport Cable Knit Sweater,Clothes,Clothes,1,299.99,299.99,11/6/2010
333,8075,6181,Guess Women's Full Collar Short Down Jacket,Clothes,Clothes,1,575.99,575.99,11/6/2010
751,1249,6182,Guess Women's Wrap Coat,Clothes,Clothes,2,399.99,799.98,11/6/2010
432,28881,6183,Guess Women's Quilted Jacket,Clothes,Clothes,1,299.99,299.99,11/6/2010
405,6807,6184,Guess Women's Moto Jacket,Clothes,Clothes,1,399.99,399.99,11/6/2010
779,5131,6185,Guess Women's Jean Jacket,Clothes,Clothes,1,194.99,194.99,11/6/2010
46,35995,6186,Guess Women's Skinny Jeans,Clothes,Clothes,1,1299.99,1299.99,11/6/2010
598,28632,6187,Guess Women's Boot Cut Jeans,Clothes,Clothes,1,1299.99,1299.99,11/6/2010
971,9511,6188,Guess Women's Mid-rise Jeans,Clothes,Clothes,1,1299.99,1299.99,11/6/2010
818,37087,6191,Tommy Hilfiger Jacquard Tote,Clothes,Clothes,1,249.99,249.99,11/6/2010
464,34695,6192,Tommy Arianna Tote,Clothes,Clothes,1,399.99,399.99,11/6/2010
20,22863,6193,Tommy Hilfiger Everyday Tote,Clothes,Clothes,2,399.99,799.98,11/6/2010
556,39118,6194,Tommy Hilfiger Alexa purse ,Clothes,Clothes,1,149.99,149.99,11/6/2010
409,28394,6195,Elie Tahari Jocelyn Dress,Clothes,Clothes,1,149.99,149.99,11/6/2010
426,35275,6196,Elie Tahari Emory Dress,Clothes,Clothes,1,1299.99,1299.99,11/6/2010
840,26898,6197,Elie Tahari Ophelia Dress,Clothes,Clothes,1,104.99,104.99,11/6/2010
880,570,6198,Elie Tahari Gwenyth Dress,Clothes,Clothes,1,1099.99,1099.99,11/6/2010
379,16870,6199,Adidas Black Running Tights,Clothes,Clothes,1,299.99,299.99,11/6/2010
605,3341,6200,Adidas Originals Black Hoodie,Clothes,Clothes,3,149.99,449.97,11/6/2010
428,20296,6201,Adidas Originals Grey Hoodie,Clothes,Clothes,1,229.99,229.99,11/6/2010
541,22186,6202,Adidas Originals Classic White Sweatshirt,Clothes,Clothes,1,599.99,599.99,11/6/2010
10,39746,6203,Adidas Originals Classic Black Sweatshirt,Clothes,Clothes,1,539.99,539.99,11/6/2010
