from,to,distance
L138,L18,3.51036247609
L139,L18,3.83697386227
L141,L18,4.24043032679
L145,L18,4.65455895573
L146,L18,5.22602221226
L147,L18,5.6552477935
L150,L18,6.07354200721
L151,L18,9.22748771726
L153,L18,8.07608517041
L154,L18,10.9131846711
L155,L18,10.2701251211
L156,L18,9.3452528343
L157,L18,9.22185049546
L159,L18,8.66873623479
L162,L18,9.56164654115
L168,L18,8.4559315846
L171,L18,8.52070251451
L173,L18,8.49006791057
L178,L18,8.33864023032
L179,L18,8.48643308906
L185,L18,8.61300060313
L186,L18,8.56081784878
L191,L18,8.78427776682
L203,L18,8.04111015896
L206,L18,7.89035510265
L213,L18,7.6512605185
L222,L18,7.4322256137
L227,L18,7.27317569628
L229,L18,6.38389776809
L231,L18,10.3954174077
L246,L18,9.86545231839
L247,L18,8.14403212082
L249,L18,7.92602388623
L252,L18,7.57354727568
L262,L18,7.35807779519
L271,L18,7.06195720074
L273,L18,6.97532834492
L274,L18,6.76524674694
L292,L18,6.68977329968
L299,L18,6.67423096228
L309,L18,6.85851104408
L310,L18,7.01075861141
L313,L18,7.56189233753
L315,L18,7.65216726974
L321,L18,7.71505456927
L323,L18,7.85443219429
L328,L18,2.71398575825
L333,L18,3.02118357934
L334,L18,3.56601588751
L336,L18,3.7892104058
L338,L18,4.20825263412
L349,L18,4.79751260621
L355,L18,8.15633741741
L361,L18,9.5516968834
L365,L18,11.239962296
L370,L18,7.76940113959
L371,L18,8.57632168059
L375,L18,11.2328551582
L382,L18,11.8409457695
L385,L18,9.17865384692
L387,L18,8.13607320769
L392,L18,9.02204780009
L393,L18,9.34974495895
L402,L18,10.3323507763
L408,L18,7.9082937719
L411,L18,7.82661017448
L412,L18,7.72041811913
L418,L18,7.64444531783
L423,L18,7.58868504339
L430,L18,7.32644524613
L431,L18,7.22601867406
L437,L18,7.11069532402
L444,L18,7.02235418392
L445,L18,6.9387766551
L469,L18,6.81191073818
L483,L18,5.30922137385
L493,L18,5.40832413567
L495,L18,5.27154475604
L496,L18,5.14718192681
L511,L18,5.01994926668
L527,L18,2.71286011898
L529,L18,2.8221795789
L530,L18,2.9402180067
L540,L18,3.06477530077
L543,L18,7.29548734152
L554,L18,7.74737532062
L556,L18,6.68478724402
L560,L18,3.52757678534
L0,L18,3.27391553901
L7,L26,9.42051372184
L18,L26,8.82501828919
L26,L26,0
L33,L26,1.84135534783
L36,L26,3.24701183637
L38,L26,4.14713786973
L57,L26,4.92192590237
L62,L26,5.86932248455
L63,L26,6.51102409905
L70,L26,7.3832163289
L75,L26,7.89636614627
L76,L26,8.91739979517
L77,L26,9.62705401533
L78,L26,10.2893635109
L79,L26,11.0537929201
L80,L26,12.4945614713
L81,L26,6.08422532739
L82,L26,5.64139200221
L91,L26,5.98962936241
L93,L26,5.30942969897
L99,L26,7.33480475539
L102,L26,7.1477893802
L103,L26,6.81825004222
L106,L26,6.63584583233
L113,L26,0.953053075364
L116,L26,9.1014496324
L122,L26,8.78704813893
L128,L26,8.65402885145
L134,L26,8.55850710674
L135,L26,8.09885771549
L138,L26,8.86571533258
L139,L26,9.37613677297
L141,L26,9.85794983459
L145,L26,10.0819357115
L146,L26,10.3282754755
L147,L26,10.5284113135
L150,L26,10.6954685682
L151,L26,8.63715811884
L153,L26,11.6318127434
L154,L26,14.7226651681
L155,L26,14.0231781633
L156,L26,9.72310946425
L157,L26,9.16325762209
L159,L26,11.8575409036
L162,L26,13.2399798245
L168,L26,11.6130271049
L171,L26,10.1413771106
L173,L26,10.5041051299
L178,L26,10.8465961474
L179,L26,11.2591891405
L185,L26,9.52966333713
L186,L26,9.85145797808
L191,L26,8.99630416418
L203,L26,6.19583239119
L206,L26,5.72836908675
L213,L26,5.31292471589
L222,L26,4.86451223065
L227,L26,4.42576738059
L229,L26,2.80110997545
L231,L26,12.5275138528
L246,L26,11.9807319427
L247,L26,9.90063902594
L249,L26,9.47577915944
L252,L26,8.64132506794
L262,L26,8.505914167
L271,L26,8.22461674714
L273,L26,7.94740297822
L274,L26,7.09230970312
L292,L26,6.72793660119
L299,L26,6.38508899861
L309,L26,5.93537942488
L310,L26,5.65842574963
L313,L26,4.42384739828
L315,L26,4.00697482583
L321,L26,3.65312805593
L323,L26,3.23932907603
L328,L26,6.61250581722
L333,L26,6.73970551969
L334,L26,6.98000093869
L336,L26,6.74197759782
L338,L26,6.28238474471
L349,L26,5.94699907398
L355,L26,12.2738481739
L361,L26,8.11024872961
L365,L26,4.56051087347
L370,L26,8.38202579909
L371,L26,2.64329885596
L375,L26,14.0751969404
L382,L26,14.3773530634
L385,L26,2.47618361348
L387,L26,2.86126708207
L392,L26,12.1521698138
L393,L26,12.4316981668
L402,L26,13.2813519273
L408,L26,10.9632444077
L411,L26,10.6419592661
L412,L26,10.1295188328
L418,L26,9.67794000797
L423,L26,9.20066892863
L430,L26,7.97154639466
L431,L26,7.54126948323
L437,L26,7.14541692192
L444,L26,6.85716436934
L445,L26,6.3761648356
L469,L26,5.38303065242
L483,L26,8.82287386821
L493,L26,8.43832260203
L495,L26,8.08617206296
L496,L26,7.71265601699
L511,L26,7.40017919548
L527,L26,6.14144804596
L529,L26,6.00300795946
L530,L26,5.9533665077
L540,L26,5.94079293644
L543,L26,11.6506248728
L554,L26,12.0334928646
L556,L26,10.9651973101
L560,L26,7.62839457238
L0,L26,6.84422426781
L7,L33,8.10679701328
L18,L33,7.53457404231
L26,L33,1.84135534783
L33,L33,0
L36,L33,1.40565778892
L38,L33,2.30578373366
L57,L33,3.08057207401
L62,L33,4.02831497284
L63,L33,4.67050848411
L70,L33,5.54244686636
L75,L33,6.05549383808
L76,L33,7.07681215265
L77,L33,7.78599823661
L78,L33,8.4488253633
L79,L33,9.21308579602
L80,L33,10.6593642645
L81,L33,5.67252504026
L82,L33,4.0488805762
L91,L33,4.36202546242
L93,L33,3.75706580673
L99,L33,6.32973140245
L102,L33,6.02986670848
L103,L33,5.53257912682
L106,L33,5.18791622476
L113,L33,2.79439848323
L116,L33,7.49809741463
L122,L33,7.14391094005
L128,L33,6.9718488445
L134,L33,6.84217600312
L135,L33,6.35984615975
L138,L33,7.13945520059
L139,L33,7.63396991998
L141,L33,8.09955090325
L145,L33,8.30337160338
L146,L33,8.52563310416
L147,L33,8.71201416581
L150,L33,8.86826712936
L151,L33,6.97499346633
L153,L33,9.79310387083
L154,L33,12.8945585105
L155,L33,12.1928528282
L156,L33,8.007194867
L157,L33,7.46748439145
L159,L33,10.0269707251
L162,L33,11.4071764796
L168,L33,9.78127914711
L171,L33,8.34717107285
L173,L33,8.69757647921
L178,L33,9.02558562078
L179,L33,9.43451929261
L185,L33,7.76307389053
L186,L33,8.06932670067
L191,L33,7.26718228437
L203,L33,4.52152646479
L206,L33,4.05212374289
L213,L33,3.61349311845
L222,L33,3.13986779372
L227,L33,2.67824830973
L229,L33,1.16076593032
L231,L33,10.7496471817
L246,L33,10.1949613775
L247,L33,8.09422850964
L249,L33,7.66980667905
L252,L33,6.83764457142
L262,L33,6.6942918727
L271,L33,6.404677434
L273,L33,6.12781012552
L274,L33,5.27364806642
L292,L33,4.90890137198
L299,L33,4.56770524457
L309,L33,4.13301914037
L310,L33,3.87115693488
L313,L33,2.73063488118
L315,L33,2.34231185915
L321,L33,2.01304356653
L323,L33,1.65979980121
L328,L33,5.08636403791
L333,L33,5.126231602
L334,L33,5.26835115299
L336,L33,5.01508312711
L338,L33,4.52943072494
L349,L33,4.14878717691
L355,L33,10.4325847117
L361,L33,6.53153928686
L365,L33,4.26345993921
L370,L33,6.59669844788
L371,L33,1.54701427452
L375,L33,12.278834886
L382,L33,12.6008198285
L385,L33,1.88892439523
L387,L33,1.44469873065
L392,L33,10.3256205786
L393,L33,10.6091261587
L402,L33,11.4719831763
L408,L33,9.12861376352
L411,L33,8.80970697533
L412,L33,8.30212064885
L418,L33,7.85583582466
L423,L33,7.38557412954
L430,L33,6.16898741209
L431,L33,5.74138766559
L437,L33,5.34549187131
L444,L33,5.05606140047
L445,L33,4.57564649352
L469,L33,3.57915666861
L483,L33,6.99448584282
L493,L33,6.60469351203
L495,L33,6.25417612156
L496,L33,5.88285626198
L511,L33,5.57416268466
L527,L33,4.98837735348
L529,L33,4.76428913178
L530,L33,4.59496101519
L540,L33,4.50627279391
L543,L33,9.81107898413
L554,L33,10.1925060522
L556,L33,9.12800654655
L560,L33,5.90128988702
L0,L33,5.17928773772
L7,L36,7.25780843168
L18,L36,6.722254498
L26,L36,3.24701183637
L33,L36,1.40565778892
L36,L36,0
L38,L36,0.900126073753
L57,L36,1.67491432811
L62,L36,2.62334636641
L63,L36,3.26626165712
L70,L36,4.13768936279
L75,L36,4.65055168119
L76,L36,5.67218137621
L77,L36,6.3807504366
L78,L36,7.04398154857
L79,L36,7.80821836509
L80,L36,9.26031446952
L81,L36,5.74613161105
L82,L36,3.02739125961
L91,L36,3.27377672572
L93,L36,2.81485364985
L99,L36,5.84095123503
L102,L36,5.44530338235
L103,L36,4.7989180934
L106,L36,4.28850523305
L113,L36,4.20005626622
L116,L36,6.35985303149
L122,L36,5.96646313785
L128,L36,5.75230032873
L134,L36,5.58455904699
L135,L36,5.07991346564
L138,L36,5.86774571027
L139,L36,6.34077374684
L141,L36,6.78591122318
L145,L36,6.96677871016
L146,L36,7.16212061288
L147,L36,7.3332507976
L150,L36,7.47768261705
L151,L36,5.78117181646
L153,L36,8.39042343737
L154,L36,11.5022265468
L155,L36,10.7984783819
L156,L36,6.74319916826
L157,L36,6.23017009417
L159,L36,8.63298361698
L162,L36,10.0104627445
L168,L36,8.38612018127
L171,L36,6.99477511916
L173,L36,7.33082277239
L178,L36,7.64251388824
L179,L36,8.04715647621
L185,L36,6.44369182953
L186,L36,6.73122302173
L191,L36,5.9935610047
L203,L36,3.36471861396
L206,L36,2.91182645581
L213,L36,2.45961210733
L222,L36,1.97272213561
L227,L36,1.5052479111
L229,L36,0.972844323343
L231,L36,9.40972470734
L246,L36,8.84786338218
L247,L36,6.72866874237
L249,L36,6.30562360394
L252,L36,5.47836672644
L262,L36,5.32572445689
L271,L36,5.02644031745
L273,L36,4.75064257707
L274,L36,3.90030242455
L292,L36,3.5365121654
L299,L36,3.19954684263
L309,L36,2.79252472119
L310,L36,2.5600597008
L313,L36,1.66727585746
L315,L36,1.41021605167
L321,L36,1.2363720057
L323,L36,1.1906977513
L328,L36,4.09748292967
L333,L36,4.02652158946
L334,L36,4.03784323489
L336,L36,3.76907596897
L338,L36,3.2563142384
L349,L36,2.81291707286
L355,L36,9.02705674226
L361,L36,5.44045263651
L365,L36,4.55652814245
L370,L36,5.26075844406
L371,L36,1.85965483872
L375,L36,10.9182933709
L382,L36,11.2594754973
L385,L36,2.48693697769
L387,L36,1.4146599581
L392,L36,8.93576264815
L393,L36,9.22328402185
L402,L36,10.0991078068
L408,L36,7.73052538143
L411,L36,7.4143667857
L412,L36,6.91252208535
L418,L36,6.472708406
L423,L36,6.01131355898
L430,L36,4.8135155651
L431,L36,4.39140708994
L437,L36,3.99777707575
L444,L36,3.70868350956
L445,L36,3.23317286012
L469,L36,2.24448237172
L483,L36,5.60402617674
L493,L36,5.2082741038
L495,L36,4.8600553025
L496,L36,4.49195737672
L511,L36,4.18876366083
L527,L36,4.43052306423
L529,L36,4.13049585997
L530,L36,3.83687829009
L540,L36,3.66249665283
L543,L36,8.40719530525
L554,L36,8.78717218337
L556,L36,7.72664422193
L560,L36,4.64107166718
L0,L36,4.01181613351
L7,L38,6.81217442795
L18,L38,6.31310412892
L26,L38,4.14713786973
L33,L38,2.30578373366
L36,L38,0.900126073753
L38,L38,0
L57,L38,0.774788373688
L62,L38,1.72421562711
L63,L38,2.36787332771
L70,L38,3.23851775952
L75,L38,3.75113789622
L76,L38,4.77299949568
L77,L38,5.48097841144
L78,L38,6.14459886513
L79,L38,6.90874210426
L80,L38,8.36551277636
L81,L38,5.96981767786
L82,L38,2.5719259341
L91,L38,2.73402270008
L93,L38,2.45695793482
L99,L38,5.6912074235
L102,L38,5.23810188231
L103,L38,4.50074373033
L106,L38,3.87470134015
L113,L38,5.10018212552
L116,L38,5.69450295538
L122,L38,5.27195298335
L128,L38,5.02308906651
L134,L38,4.82271916671
L135,L38,4.3020571897
L138,L38,5.09086544136
L139,L38,5.54180887817
L141,L38,5.96704894089
L145,L38,6.12737242062
L146,L38,6.29890797467
L147,L38,6.45659033862
L150,L38,6.59068019351
L151,L38,5.07361281046
L153,L38,7.49274172
L154,L38,10.6123821272
L155,L38,9.90716254049
L156,L38,5.96683591263
L157,L38,5.48028488071
L159,L38,7.74245254371
L162,L38,9.1174267764
L168,L38,7.49468727909
L171,L38,6.14112239131
L173,L38,6.46420048394
L178,L38,6.76161004589
L179,L38,7.16237314577
L185,L38,5.62055695861
L186,L38,5.89066817663
L191,L38,5.21341478151
L203,L38,2.74812525686
L206,L38,2.33809582509
L213,L38,1.90675057931
L222,L38,1.46435192886
L227,L38,1.09431669942
L229,L38,1.66317493484
L231,L38,8.56255125816
L246,L38,7.99562302457
L247,L38,5.86399652685
L249,L38,5.44296230131
L252,L38,4.62232591394
L262,L38,4.46129096874
L271,L38,4.15337175732
L273,L38,3.87933714743
L274,L38,3.03624332932
L292,L38,2.67568441113
L299,L38,2.34659863272
L309,L38,1.98180679517
L310,L38,1.79681050403
L313,L38,1.3634315167
L315,L38,1.35011235922
L321,L38,1.40943660991
L323,L38,1.6234353323
L328,L38,3.61293127977
L333,L38,3.44185910519
L334,L38,3.32407044606
L336,L38,3.04550415722
L338,L38,2.51669210791
L349,L38,2.00848469809
L355,L38,8.12702760247
L361,L38,4.82749567032
L365,L38,4.94847707906
L370,L38,4.42775119019
L371,L38,2.49278305279
L375,L38,10.0534013297
L382,L38,10.4092398627
L385,L38,3.15178383032
L387,L38,2.00504876706
L392,L38,8.04852698325
L393,L38,8.33920929707
L402,L38,9.2250071175
L408,L38,6.83679860999
L411,L38,6.52308268408
L412,L38,6.02647633021
L418,L38,5.59277325384
L423,L38,5.14005098732
L430,L38,3.9637050256
L431,L38,3.54946533781
L437,L38,3.1611160982
L444,L38,2.87507127379
L445,L38,2.41133282198
L469,L38,1.46109803205
L483,L38,4.71848535511
L493,L38,4.31731052205
L495,L38,3.97170066057
L496,L38,3.60742404607
L511,L38,3.3107456123
L527,L38,4.28317875118
L529,L38,3.94098143631
L530,L38,3.56486409286
L540,L38,3.32860363798
L543,L38,7.50859169458
L554,L38,7.88733030154
L556,L38,6.83025553648
L560,L38,3.88719619467
L0,L38,3.36184578541
L7,L57,6.50378960727
L18,L57,6.04610806745
L26,L57,4.92192590237
L33,L57,3.08057207401
L36,L57,1.67491432811
L38,L57,0.774788373688
L57,L57,0
L62,L57,0.951854018005
L63,L57,1.59621336591
L70,L57,2.46514932269
L75,L57,2.9773404301
L76,L57,3.99939924937
L77,L57,4.70662414443
L78,L57,5.37062090188
L79,L57,6.1346926479
L80,L57,7.59638902934
L81,L57,6.25983755051
L82,L57,2.39050863092
L91,L57,2.44511673642
L93,L57,2.38904023366
L99,L57,5.67401833362
L102,L57,5.17918484858
L103,L57,4.37749578688
L106,L57,3.66048982594
L113,L57,5.87497049346
L116,L57,5.17848886217
L122,L57,4.72955082908
L128,L57,4.44544949152
L134,L57,4.21051460354
L135,L57,3.67709169181
L138,L57,4.45907115298
L139,L57,4.88204265736
L141,L57,5.28313194863
L145,L57,5.42022149455
L146,L57,5.56506696084
L147,L57,5.70769266537
L150,L57,5.83029049248
L151,L57,4.52020229034
L153,L57,6.72063222012
L154,L57,9.84803985848
L155,L57,9.14143326541
L156,L57,5.33019764476
L157,L57,4.87609432181
L159,L57,6.97799555655
L162,L57,8.3500449906
L168,L57,6.72933136407
L171,L57,5.4186209475
L173,L57,5.72672527345
L178,L57,6.00807694925
L179,L57,6.40434457044
L185,L57,4.93391202033
L186,L57,5.18345722861
L191,L57,4.57766481521
L203,L57,2.36815845712
L206,L57,2.04306236469
L213,L57,1.69042060301
L222,L57,1.39270729892
L227,L57,1.25579090773
L229,L57,2.37260610999
L231,L57,7.84302252109
L246,L57,7.27151879467
L247,L57,5.12970275449
L249,L57,4.71186879388
L252,L57,3.9016426256
L262,L57,3.7309829359
L271,L57,3.41334032967
L273,L57,3.14259555787
L274,L57,2.31486471349
L292,L57,1.96342651938
L299,L57,1.65329614182
L309,L57,1.37651270076
L310,L57,1.29043464172
L313,L57,1.53805383332
L315,L57,1.72604468076
L321,L57,1.91827629139
L323,L57,2.2322251409
L328,L57,3.33636461388
L333,L57,3.06305723576
L334,L57,2.79669412523
L336,L57,2.51519352493
L338,L57,1.98852891312
L349,L57,1.41139523347
L355,L57,7.35235194528
L361,L57,4.3805687173
L365,L57,5.38487223729
L370,L57,3.73604325208
L371,L57,3.14410366422
L375,L57,9.31447226324
L382,L57,9.68483418194
L385,L57,3.80269893073
L387,L57,2.65654166977
L392,L57,7.28748178892
L393,L57,7.58139080739
L402,L57,8.47714320372
L408,L57,6.06911728263
L411,L57,5.75820774866
L412,L57,5.26775940251
L418,L57,4.84146694854
L423,L57,4.39961019818
L430,L57,3.25422787637
L431,L57,2.85363795725
L437,L57,2.47716477209
L444,L57,2.20025018773
L445,L57,1.76652844395
L469,L57,0.966886392259
L483,L57,3.96138349893
L493,L57,3.5539973971
L495,L57,3.21216838799
L496,L57,2.85372364371
L511,L57,2.56709179475
L527,L57,4.30501716639
L529,L57,3.93799125572
L530,L57,3.50268833786
L540,L57,3.2193611826
L543,L57,6.73539941831
L554,L57,7.11282713662
L556,L57,6.05950779025
L560,L57,3.29716065968
L0,L57,2.91057264222
L7,L62,6.33699780639
L18,L62,5.94446049117
L26,L62,5.86932248455
L33,L62,4.02831497284
L36,L62,2.62334636641
L38,L62,1.72421562711
L57,L62,0.951854018005
L62,L62,0
L63,L62,0.644369467109
L70,L62,1.51436758175
L75,L62,2.02722254802
L76,L62,3.0488720247
L77,L62,3.75773163802
L78,L62,4.43271111324
L79,L62,5.18488317915
L80,L62,6.64476125426
L81,L62,6.804697678
L82,L62,2.59553181578
L91,L62,2.50427414101
L93,L62,2.72533378352
L99,L62,5.89434945875
L102,L62,5.36308750163
L103,L62,4.51104711555
L106,L62,3.71434256887
L113,L62,6.82218200416
L116,L62,4.73516502348
L122,L62,4.25469397855
L128,L62,3.91882141112
L134,L62,3.62918966525
L135,L62,3.08937152149
L138,L62,3.83540145448
L139,L62,4.19817085103
L141,L62,4.54819632649
L145,L62,4.63895108628
L146,L62,4.72850192675
L147,L62,4.83778085052
L150,L62,4.93307248835
L151,L62,3.86109416062
L153,L62,5.76897357355
L154,L62,8.89834962009
L155,L62,8.19105920073
L156,L62,4.54027805326
L157,L62,4.1372966676
L159,L62,6.02851740616
L162,L62,7.39896767452
L168,L62,5.77936071317
L171,L62,4.51403578356
L173,L62,4.80358867315
L178,L62,5.06770970229
L179,L62,5.45973335862
L185,L62,4.07873595399
L186,L62,4.29925495428
L191,L62,3.79808692985
L203,L62,2.10389098341
L206,L62,1.95719196202
L213,L62,1.79014342307
L222,L62,1.74687370155
L227,L62,1.86013490797
L229,L62,3.30564746595
L231,L62,6.93664865623
L246,L62,6.36086249452
L247,L62,4.2116049342
L249,L62,3.79901060611
L252,L62,3.00704893022
L262,L62,2.82404887189
L271,L62,2.49483196108
L273,L62,2.23089343654
L274,L62,1.44458515494
L292,L62,1.12947096193
L299,L62,0.89873787791
L309,L62,0.918887644681
L310,L62,1.07971198049
L313,L62,2.08516894881
L315,L62,2.40157041069
L321,L62,2.6721432165
L323,L62,3.04185319714
L328,L62,3.32810587902
L333,L62,2.92955442209
L334,L62,2.44299270168
L336,L62,2.18400702833
L338,L62,1.73659769142
L349,L62,1.16274221484
L355,L62,6.40479284559
L361,L62,3.87845818022
L365,L62,5.93989148032
L370,L62,2.88589778026
L371,L62,3.96273729292
L375,L62,8.38611774088
L382,L62,8.77112254444
L385,L62,4.60975938459
L387,L62,3.48631691803
L392,L62,6.34023003485
L393,L62,6.63653090135
L402,L62,7.54063593188
L408,L62,5.11804874084
L411,L62,4.8086821
L412,L62,4.32315543665
L418,L62,3.90454082508
L423,L62,3.47617324025
L430,L62,2.38362762779
L431,L62,2.01415612826
L437,L62,1.67307940966
L444,L62,1.43075252925
L445,L62,1.11294312673
L469,L62,0.963796294945
L483,L62,3.08064658057
L493,L62,2.65834640616
L495,L62,2.33128840811
L496,L62,1.99622221406
L511,L62,1.74796259485
L527,L62,4.61167915359
L529,L62,4.23231419797
L530,L62,3.7524127403
L540,L62,3.43246203896
L543,L62,5.8003363392
L554,L62,6.17099112126
L556,L62,5.13361369013
L560,L62,2.79307037952
L0,L62,2.67684823698
L7,L63,6.30834379616
L18,L63,5.96620982716
L26,L63,6.51102409905
L33,L63,4.67050848411
L36,L63,3.26626165712
L38,L63,2.36787332771
L57,L63,1.59621336591
L62,L63,0.644369467109
L63,L63,0
L70,L63,0.872573846552
L75,L63,1.38590725317
L76,L63,2.40637595431
L77,L63,3.11691019832
L78,L63,3.80276052371
L79,L63,4.54278332844
L80,L63,6.00048375424
L81,L63,7.22503561087
L82,L63,2.91199020683
L91,L63,2.74240855118
L93,L63,3.10520006316
L99,L63,6.12778855685
L102,L63,5.58138425819
L103,L63,4.71408436924
L106,L63,3.88945737194
L113,L63,7.46367244339
L116,L63,4.52946141199
L122,L63,4.03474510734
L128,L63,3.66554599768
L134,L63,3.33815164062
L135,L63,2.81164299196
L138,L63,3.50230099426
L139,L63,3.80511869702
L141,L63,4.10518202275
L145,L63,4.15392537888
L146,L63,4.19294696084
L147,L63,4.27113095022
L150,L63,4.34087280018
L151,L63,3.48839939138
L153,L63,5.12491176737
L154,L63,8.25538875114
L155,L63,7.547622852
L156,L63,4.04214972649
L157,L63,3.68937846431
L159,L63,5.38585369318
L162,L63,6.75504699456
L168,L63,5.13632410018
L171,L63,3.91259100909
L173,L63,4.18455806879
L178,L63,4.43301747799
L179,L63,4.8211971199
L185,L63,3.52544193656
L186,L63,3.71750773607
L191,L63,3.31836295515
L203,L63,2.15296150522
L206,L63,2.14674487344
L213,L63,2.11010589293
L222,L63,2.19541355175
L227,L63,2.39847292074
L229,L63,3.94303299027
L231,L63,6.3290032881
L246,L63,5.75036822845
L247,L63,3.59847902507
L249,L63,3.1922534944
L252,L63,2.42407012595
L262,L63,2.22938619511
L271,L63,1.88997202518
L273,L63,1.63766708065
L274,L63,0.94534124274
L292,L63,0.742659006823
L299,L63,0.725229027863
L309,L63,1.07389306806
L310,L63,1.35879540279
L313,L63,2.58940415858
L315,L63,2.94455113801
L321,L63,3.24016683119
L323,L63,3.62756640098
L328,L63,3.47827777529
L333,L63,3.0160651345
L334,L63,2.40094848019
L336,L63,2.18290323408
L338,L63,1.85074532928
L349,L63,1.39929166525
L355,L63,5.76468126861
L361,L63,3.63746259064
L365,L63,6.36575916148
L370,L63,2.35206880647
L371,L63,4.54460336015
L375,L63,7.75973055842
L382,L63,8.15606358028
L385,L63,5.1820577109
L387,L63,4.07670936778
L392,L63,5.69931759728
L393,L63,5.99750112777
L402,L63,6.90808727961
L408,L63,4.47418342805
L411,L63,4.1660986908
L412,L63,3.68508585055
L418,L63,3.27409192106
L423,L63,2.86010123868
L430,L63,1.83767692048
L431,L63,1.51939472465
L437,L63,1.24842318273
L444,L63,1.08375887824
L445,L63,0.991941672775
L469,L63,1.39483011747
L483,L63,2.51649962143
L493,L63,2.08290269357
L495,L63,1.77975327151
L496,L63,1.48586565673
L511,L63,1.30430818004
L527,L63,4.91796917783
L529,L63,4.53926946788
L530,L63,4.04574730001
L540,L63,3.71482402506
L543,L63,5.17188835944
L554,L63,5.53617768327
L556,L63,4.51431213727
L560,L63,2.60296130421
L0,L63,2.70831748582
L7,L70,6.27157516203
L18,L70,6.00363676627
L26,L70,7.3832163289
L33,L70,5.54244686636
L36,L70,4.13768936279
L38,L70,3.23851775952
L57,L70,2.46514932269
L62,L70,1.51436758175
L63,L70,0.872573846551
