from,to,time
L128,L18,19.9638771601
L134,L18,21.7797427403
L135,L18,23.0537316621
L138,L18,22.5518123805
L139,L18,24.1848693113
L141,L18,26.202151634
L145,L18,28.2727947787
L146,L18,31.1301110613
L147,L18,33.2762389675
L150,L18,35.3677100361
L151,L18,51.1374385863
L153,L18,45.3804258521
L154,L18,59.5659233553
L155,L18,56.3506256054
L156,L18,51.7262641715
L157,L18,51.1092524773
L159,L18,48.343681174
L162,L18,52.8082327058
L168,L18,47.279657923
L171,L18,47.6035125726
L173,L18,47.4503395529
L178,L18,46.6932011516
L179,L18,47.4321654453
L185,L18,48.0650030157
L186,L18,47.8040892439
L191,L18,48.9213888341
L203,L18,45.2055507948
L206,L18,44.4517755133
L213,L18,43.2563025925
L222,L18,42.1611280685
L227,L18,41.3658784814
L229,L18,36.9194888405
L231,L18,56.9770870384
L246,L18,54.327261592
L247,L18,45.7201606041
L249,L18,44.6301194312
L252,L18,42.8677363784
L262,L18,41.790388976
L271,L18,40.3097860037
L273,L18,39.8766417246
L274,L18,38.8262337347
L292,L18,38.4488664984
L299,L18,38.3711548114
L309,L18,39.2925552204
L310,L18,40.053793057
L313,L18,42.8094616876
L315,L18,43.2608363487
L321,L18,43.5752728464
L323,L18,44.2721609714
L328,L18,18.5699287912
L333,L18,20.1059178967
L334,L18,22.8300794376
L336,L18,23.946052029
L338,L18,26.0412631706
L349,L18,28.9875630311
L355,L18,45.781687087
L361,L18,52.758484417
L365,L18,61.1998114802
L370,L18,43.847005698
L371,L18,47.8816084029
L375,L18,61.1642757908
L382,L18,64.2047288477
L385,L18,50.8932692346
L387,L18,45.6803660385
L392,L18,50.1102390004
L393,L18,51.7487247948
L402,L18,56.6617538816
L408,L18,44.5414688595
L411,L18,44.1330508724
L412,L18,43.6020905957
L418,L18,43.2222265892
L423,L18,42.9434252169
L430,L18,41.6322262306
L431,L18,41.1300933703
L437,L18,40.5534766201
L444,L18,40.1117709196
L445,L18,39.6938832755
L469,L18,39.0595536909
L483,L18,31.5461068692
L493,L18,32.0416206783
L495,L18,31.3577237802
L496,L18,30.7359096341
L511,L18,30.0997463334
L527,L18,18.5643005949
L529,L18,19.1108978945
L530,L18,19.7010900335
L540,L18,20.3238765038
L543,L18,41.4774367076
L554,L18,43.7368766031
L556,L18,38.4239362201
L560,L18,22.6378839267
L0,L18,21.369577695
L7,L26,52.1025686092
L18,L26,49.125091446
L26,L26,0
L33,L26,14.2067767391
L36,L26,21.2350591819
L38,L26,25.7356893486
L57,L26,29.6096295119
L62,L26,34.3466124227
L63,L26,37.5551204952
L70,L26,41.9160816445
L75,L26,44.4818307313
L76,L26,49.5869989758
L77,L26,53.1352700767
L78,L26,56.4468175547
L79,L26,60.2689646004
L80,L26,67.4728073567
L81,L26,35.421126637
L82,L26,33.206960011
L91,L26,34.948146812
L93,L26,31.5471484948
L99,L26,41.674023777
L102,L26,40.738946901
L103,L26,39.0912502111
L106,L26,38.1792291617
L113,L26,9.76526537682
L116,L26,50.507248162
L122,L26,48.9352406946
L128,L26,48.2701442572
L134,L26,47.7925355337
L135,L26,45.4942885775
L138,L26,49.3285766629
L139,L26,51.8806838649
L141,L26,54.289749173
L145,L26,55.4096785574
L146,L26,56.6413773773
L147,L26,57.6420565677
L150,L26,58.477342841
L151,L26,48.1857905942
L153,L26,63.159063717
L154,L26,78.6133258407
L155,L26,75.1158908166
L156,L26,53.6155473212
L157,L26,50.8162881104
L159,L26,64.2877045179
L162,L26,71.1998991224
L168,L26,63.0651355246
L171,L26,55.7068855528
L173,L26,57.5205256497
L178,L26,59.2329807368
L179,L26,61.2959457024
L185,L26,52.6483166857
L186,L26,54.2572898904
L191,L26,49.9815208209
L203,L26,35.979161956
L206,L26,33.6418454337
L213,L26,31.5646235795
L222,L26,29.3225611533
L227,L26,27.128836903
L229,L26,19.0055498773
L231,L26,67.637569264
L246,L26,64.9036597136
L247,L26,54.5031951297
L249,L26,52.3788957972
L252,L26,48.2066253397
L262,L26,47.529570835
L271,L26,46.1230837357
L273,L26,44.7370148911
L274,L26,40.4615485156
L292,L26,38.639683006
L299,L26,36.925444993
L309,L26,34.6768971244
L310,L26,33.2921287481
L313,L26,27.1192369914
L315,L26,25.0348741292
L321,L26,23.2656402796
L323,L26,21.1966453802
L328,L26,38.0625290861
L333,L26,38.6985275984
L334,L26,39.9000046935
L336,L26,38.7098879891
L338,L26,36.4119237236
L349,L26,34.7349953699
L355,L26,66.3692408694
L361,L26,45.551243648
L365,L26,27.8025543674
L370,L26,46.9101289954
L371,L26,18.2164942798
L375,L26,75.3759847019
L382,L26,76.8867653172
L385,L26,17.3809180674
L387,L26,19.3063354103
L392,L26,65.7608490692
L393,L26,67.1584908342
L402,L26,71.4067596366
L408,L26,59.8162220385
L411,L26,58.2097963303
L412,L26,55.6475941642
L418,L26,53.3897000399
L423,L26,51.0033446431
L430,L26,44.8577319733
L431,L26,42.7063474161
L437,L26,40.7270846096
L444,L26,39.2858218467
L445,L26,36.880824178
L469,L26,31.9151532621
L483,L26,49.114369341
L493,L26,47.1916130102
L495,L26,45.4308603148
L496,L26,43.5632800849
L511,L26,42.0008959774
L527,L26,35.7072402298
L529,L26,35.0150397973
L530,L26,34.7668325385
L540,L26,34.7039646822
L543,L26,63.2531243639
L554,L26,65.1674643228
L556,L26,59.8259865507
L560,L26,43.1419728619
L0,L26,39.221121339
L7,L33,45.5339850664
L18,L33,42.6728702115
L26,L33,14.2067767391
L33,L33,0
L36,L33,12.0282889446
L38,L33,16.5289186683
L57,L33,20.4028603701
L62,L33,25.1415748642
L63,L33,28.3525424206
L70,L33,32.7122343318
L75,L33,35.2774691904
L76,L33,40.3840607633
L77,L33,43.9299911831
L78,L33,47.2441268165
L79,L33,51.0654289801
L80,L33,58.2968213225
L81,L33,33.3626252013
L82,L33,25.244402881
L91,L33,26.8101273121
L93,L33,23.7853290337
L99,L33,36.6486570122
L102,L33,35.1493335424
L103,L33,32.6628956341
L106,L33,30.9395811238
L113,L33,18.9719924161
L116,L33,42.4904870732
L122,L33,40.7195547003
L128,L33,39.8592442225
L134,L33,39.2108800156
L135,L33,36.7992307987
L138,L33,40.697276003
L139,L33,43.1698495999
L141,L33,45.4977545163
L145,L33,46.5168580169
L146,L33,47.6281655208
L147,L33,48.560070829
L150,L33,49.3413356468
L151,L33,39.8749673316
L153,L33,53.9655193542
L154,L33,69.4727925525
L155,L33,65.9642641409
L156,L33,45.035974335
L157,L33,42.3374219572
L159,L33,55.1348536257
L162,L33,62.0358823978
L168,L33,53.9063957356
L171,L33,46.7358553642
L173,L33,48.487882396
L178,L33,50.1279281039
L179,L33,52.172596463
L185,L33,43.8153694526
L186,L33,45.3466335034
L191,L33,41.3359114219
L203,L33,27.607632324
L206,L33,25.2606187145
L213,L33,23.0674655922
L222,L33,20.6993389686
L227,L33,18.3912415486
L229,L33,10.8038296516
L231,L33,58.7482359086
L246,L33,55.9748068876
L247,L33,45.4711425482
L249,L33,43.3490333952
L252,L33,39.1882228571
L262,L33,38.4714593635
L271,L33,37.02338717
L273,L33,35.6390506276
L274,L33,31.3682403321
L292,L33,29.5445068599
L299,L33,27.8385262228
L309,L33,25.6650957019
L310,L33,24.3557846744
L313,L33,18.6531744059
L315,L33,16.7115592957
L321,L33,15.0652178327
L323,L33,13.2989990061
L328,L33,30.4318201895
L333,L33,30.63115801
L334,L33,31.3417557649
L336,L33,30.0754156355
L338,L33,27.6471536247
L349,L33,25.7439358846
L355,L33,57.1629235584
L361,L33,37.6576964343
L365,L33,26.3172996961
L370,L33,37.9834922394
L371,L33,12.7350713726
L375,L33,66.3941744301
L382,L33,68.0040991427
L385,L33,14.4446219762
L387,L33,12.2234936532
L392,L33,56.6281028931
L393,L33,58.0456307936
L402,L33,62.3599158816
L408,L33,50.6430688176
L411,L33,49.0485348767
L412,L33,46.5106032442
L418,L33,44.2791791233
L423,L33,41.9278706477
L430,L33,35.8449370605
L431,L33,33.706938328
L437,L33,31.7274593565
L444,L33,30.2803070024
L445,L33,27.8782324676
L469,L33,22.8957833431
L483,L33,39.9724292141
L493,L33,38.0234675601
L495,L33,36.2708806078
L496,L33,34.4142813099
L511,L33,32.8708134233
L527,L33,29.9418867674
L529,L33,28.8214456589
L530,L33,27.974805076
L540,L33,27.5313639695
L543,L33,54.0553949207
L554,L33,55.9625302609
L556,L33,50.6400327327
L560,L33,34.5064494351
L0,L33,30.8964386886
L7,L36,41.2890421584
L18,L36,38.61127249
L26,L36,21.2350591819
L33,L36,12.0282889446
L36,L36,0
L38,L36,9.50063036877
L57,L36,13.3745716406
L62,L36,18.1167318321
L63,L36,21.3313082856
L70,L36,25.6884468139
L75,L36,28.2527584059
L76,L36,33.3609068811
L77,L36,36.903752183
L78,L36,40.2199077429
L79,L36,44.0410918255
L80,L36,51.3015723476
L81,L36,33.7306580553
L82,L36,20.1369562981
L91,L36,21.3688836286
L93,L36,19.0742682493
L99,L36,34.2047561752
L102,L36,32.2265169118
L103,L36,28.994590467
L106,L36,26.4425261653
L113,L36,26.0002813311
L116,L36,36.7992651575
L122,L36,34.8323156893
L128,L36,33.7615016437
L134,L36,32.922795235
L135,L36,30.3995673282
L138,L36,34.3387285513
L139,L36,36.7038687342
L141,L36,38.9295561159
L145,L36,39.8338935508
L146,L36,40.8106030644
L147,L36,41.666253988
L150,L36,42.3884130853
L151,L36,33.9058590823
L153,L36,46.9521171869
L154,L36,62.5111327339
L155,L36,58.9923919097
L156,L36,38.7159958413
L157,L36,36.1508504709
L159,L36,48.1649180849
L162,L36,55.0523137224
L168,L36,46.9306009064
L171,L36,39.9738755958
L173,L36,41.654113862
L178,L36,43.2125694412
L179,L36,45.2357823811
L185,L36,37.2184591476
L186,L36,38.6561151086
L191,L36,34.9678050235
L203,L36,21.8235930698
L206,L36,19.559132279
L213,L36,17.2980605367
L222,L36,14.8636106781
L227,L36,12.5262395555
L229,L36,9.86422161671
L231,L36,52.0486235367
L246,L36,49.2393169109
L247,L36,38.6433437119
L249,L36,36.5281180197
L252,L36,32.3918336322
L262,L36,31.6286222844
L271,L36,30.1322015873
L273,L36,28.7532128854
L274,L36,24.5015121228
L292,L36,22.682560827
L299,L36,20.9977342131
L309,L36,18.9626236059
L310,L36,17.800298504
L313,L36,13.3363792873
L315,L36,12.0510802583
L321,L36,11.1818600285
L323,L36,10.9534887565
L328,L36,25.4874146484
L333,L36,25.1326079473
L334,L36,25.1892161744
L336,L36,23.8453798448
L338,L36,21.281571192
L349,L36,19.0645853643
L355,L36,50.1352837113
L361,L36,32.2022631826
L365,L36,27.7826407123
L370,L36,31.3037922203
L371,L36,14.2982741936
L375,L36,59.5914668546
L382,L36,61.2973774863
L385,L36,17.4346848885
L387,L36,12.0732997905
L392,L36,49.6788132408
L393,L36,51.1164201093
L402,L36,55.4955390338
L408,L36,43.6526269072
L411,L36,42.0718339285
L412,L36,39.5626104267
L418,L36,37.36354203
L423,L36,35.0565677949
L430,L36,29.0675778255
L431,L36,26.9570354497
L437,L36,24.9888853788
L444,L36,23.5434175478
L445,L36,21.1658643006
L469,L36,16.2224118586
L483,L36,33.0201308837
L493,L36,31.041370519
L495,L36,29.3002765125
L496,L36,27.4597868836
L511,L36,25.9438183041
L527,L36,27.1526153211
L529,L36,25.6524792999
L530,L36,24.1843914505
L540,L36,23.3124832641
L543,L36,47.0359765263
L554,L36,48.9358609169
L556,L36,43.6332211096
L560,L36,28.2053583359
L0,L36,25.0590806676
L7,L38,39.0608721397
L18,L38,36.5655206446
L26,L38,25.7356893487
L33,L38,16.5289186683
L36,L38,9.50063036877
L38,L38,0
L57,L38,8.87394186844
L62,L38,13.6210781356
L63,L38,16.8393666385
L70,L38,21.1925887976
L75,L38,23.7556894811
L76,L38,28.8649974784
L77,L38,32.4048920572
L78,L38,35.7229943257
L79,L38,39.5437105213
L80,L38,46.8275638818
L81,L38,34.8490883893
L82,L38,17.8596296705
L91,L38,18.6701135004
L93,L38,17.2847896741
L99,L38,33.4560371175
L102,L38,31.1905094115
L103,L38,27.5037186517
L106,L38,24.3735067008
L113,L38,30.5009106276
L116,L38,33.4725147769
L122,L38,31.3597649168
L128,L38,30.1154453326
L134,L38,29.1135958335
L135,L38,26.5102859485
L138,L38,30.4543272068
L139,L38,32.7090443909
L141,L38,34.8352447044
L145,L38,35.6368621031
L146,L38,36.4945398734
L147,L38,37.2829516931
L150,L38,37.9534009676
L151,L38,30.3680640523
L153,L38,42.4637086
L154,L38,58.0619106362
L155,L38,54.5358127025
L156,L38,34.8341795632
L157,L38,32.4014244036
L159,L38,43.7122627186
L162,L38,50.587133882
L168,L38,42.4734363954
L171,L38,35.7056119566
L173,L38,37.3210024197
L178,L38,38.8080502295
L179,L38,40.8118657288
L185,L38,33.102784793
L186,L38,34.4533408832
L191,L38,31.0670739075
L203,L38,18.7406262843
L206,L38,16.6904791254
L213,L38,14.5337528965
L222,L38,12.3217596443
L227,L38,10.4715834971
L229,L38,13.3158746742
L231,L38,47.8127562908
L246,L38,44.9781151228
L247,L38,34.3199826342
L249,L38,32.2148115066
L252,L38,28.1116295697
L262,L38,27.3064548437
L271,L38,25.7668587866
L273,L38,24.3966857371
L274,L38,20.1812166466
L292,L38,18.3784220556
L299,L38,16.7329931636
L309,L38,14.9090339759
L310,L38,13.9840525202
L313,L38,11.8171575835
L315,L38,11.7505617961
L321,L38,12.0471830496
L323,L38,13.1171766615
L328,L38,23.0646563988
L333,L38,22.2092955259
L334,L38,21.6203522303
L336,L38,20.2275207861
L338,L38,17.5834605396
L349,L38,15.0424234904
L355,L38,45.6351380123
L361,L38,29.1374783516
L365,L38,29.7423853953
L370,L38,27.138755951
L371,L38,17.463915264
L375,L38,55.2670066483
L382,L38,57.0461993133
L385,L38,20.7589191516
L387,L38,15.0252438353
L392,L38,45.2426349162
L393,L38,46.6960464854
L402,L38,51.1250355875
L408,L38,39.1839930499
L411,L38,37.6154134204
L412,L38,35.1323816511
L418,L38,32.9638662692
L423,L38,30.7002549366
L430,L38,24.818525128
L431,L38,22.7473266891
L437,L38,20.805580491
L444,L38,19.3753563689
L445,L38,17.0566641099
L469,L38,12.3054901602
L483,L38,28.5924267755
L493,L38,26.5865526103
L495,L38,24.8585033029
L496,L38,23.0371202304
L511,L38,21.5537280615
L527,L38,26.4158937559
L529,L38,24.7049071816
L530,L38,22.8243204643
L540,L38,21.6430181899
L543,L38,42.5429584729
L554,L38,44.4366515077
L556,L38,39.1512776824
L560,L38,24.4359809734
L0,L38,21.8092289271
L7,L57,37.5189480363
L18,L57,35.2305403372
L26,L57,29.6096295119
L33,L57,20.4028603701
L36,L57,13.3745716406
L38,L57,8.87394186844
L57,L57,0
L62,L57,9.75927009003
L63,L57,12.9810668296
L70,L57,17.3257466134
L75,L57,19.8867021505
L76,L57,24.9969962468
L77,L57,28.5331207221
L78,L57,31.8531045094
L79,L57,35.6734632395
L80,L57,42.9819451467
L81,L57,36.2991877526
L82,L57,16.9525431546
L91,L57,17.2255836821
L93,L57,16.9452011683
L99,L57,33.3700916681
L102,L57,30.8959242429
L103,L57,26.8874789344
L106,L57,23.3024491297
L113,L57,34.3748524673
L116,L57,30.8924443108
L122,L57,28.6477541454
L128,L57,27.2272474576
L134,L57,26.0525730177
L135,L57,23.3854584591
L138,L57,27.2953557649
L139,L57,29.4102132868
L141,L57,31.4156597432
L145,L57,32.1011074727
L146,L57,32.8253348042
L147,L57,33.5384633269
L150,L57,34.1514524624
L151,L57,27.6010114517
L153,L57,38.6031611006
L154,L57,54.2401992924
L155,L57,50.7071663271
L156,L57,31.6509882238
L157,L57,29.3804716091
L159,L57,39.8899777828
L162,L57,46.750224953
L168,L57,38.6466568203
L171,L57,32.0931047375
L173,L57,33.6336263672
L178,L57,35.0403847463
L179,L57,37.0217228522
L185,L57,29.6695601016
L186,L57,30.9172861431
L191,L57,27.888324076
L203,L57,16.8407922856
L206,L57,15.2153118234
L213,L57,13.4521030151
L222,L57,11.9635364946
L227,L57,11.2789545386
L229,L57,16.8630305499
L231,L57,44.2151126054
L246,L57,41.3575939733
L247,L57,30.6485137724
L249,L57,28.5593439694
L252,L57,24.508213128
L262,L57,23.6549146795
L271,L57,22.0667016483
L273,L57,20.7129777893
L274,L57,16.5743235674
L292,L57,14.8171325969
L299,L57,13.2664807091
L309,L57,11.8825635038
L310,L57,11.4521732086
L313,L57,12.6902691666
L315,L57,13.6302234038
L321,L57,14.591381457
L323,L57,16.1611257045
L328,L57,21.6818230694
L333,L57,20.3152861788
L334,L57,18.9834706261
L336,L57,17.5759676247
L338,L57,14.9426445656
L349,L57,12.0569761674
L355,L57,41.7617597264
L361,L57,26.9028435865
L365,L57,31.9243611864
L370,L57,23.6802162604
L371,L57,20.7205183211
L375,L57,51.5723613162
L382,L57,53.4241709097
L385,L57,24.0134946536
L387,L57,18.2827083489
L392,L57,41.4374089446
L393,L57,42.906954037
L402,L57,47.3857160186
L408,L57,35.3455864132
L411,L57,33.7910387433
L412,L57,31.3387970126
L418,L57,29.2073347427
L423,L57,26.9980509909
L430,L57,21.2711393819
L431,L57,19.2681897863
L437,L57,17.3858238605
L444,L57,16.0012509386
L445,L57,13.8326422198
L469,L57,9.8344319613
L483,L57,24.8069174947
L493,L57,22.7699869855
L495,L57,21.0608419399
L496,L57,19.2686182186
L511,L57,17.8354589737
L527,L57,26.525085832
L529,L57,24.6899562786
L530,L57,22.5134416893
L540,L57,21.096805913
L543,L57,38.6769970916
L554,L57,40.5641356831
L556,L57,35.2975389512
L560,L57,21.4858032984
L0,L57,19.5528632111
L7,L62,36.684989032
L18,L62,34.7223024558
L26,L62,34.3466124227
L33,L62,25.1415748642
L36,L62,18.1167318321
L38,L62,13.6210781356
L57,L62,9.75927009003
L62,L62,0
L63,L62,8.22184733555
L70,L62,12.5718379087
L75,L62,15.1361127401
L76,L62,20.2443601235
L77,L62,23.7886581901
L78,L62,27.1635555662
L79,L62,30.9244158957
L80,L62,38.2238062713
L81,L62,39.02348839
L82,L62,17.9776590789
L91,L62,17.521370705
L93,L62,18.6266689176
L99,L62,34.4717472938
L102,L62,31.8154375082
L103,L62,27.5552355777
L106,L62,23.5717128443
L113,L62,39.1109100208
L116,L62,28.6758251174
L122,L62,26.2734698927
L128,L62,24.5941070556
L134,L62,23.1459483263
L135,L62,20.4468576074
L138,L62,24.1770072724
L139,L62,25.9908542552
L141,L62,27.7409816324
L145,L62,28.1947554314
L146,L62,28.6425096338
L147,L62,29.1889042526
L150,L62,29.6653624418
L151,L62,24.3054708031
L153,L62,33.8448678677
L154,L62,49.4917481004
L155,L62,45.9552960036
L156,L62,27.7013902663
L157,L62,25.686483338
L159,L62,35.1425870308
L162,L62,41.9948383726
L168,L62,33.8968035658
L171,L62,27.5701789178
L173,L62,29.0179433658
L178,L62,30.3385485114
L179,L62,32.2986667931
L185,L62,25.3936797699
L186,L62,26.4962747714
L191,L62,23.9904346493
L203,L62,15.519454917
L206,L62,14.7859598101
L213,L62,13.9507171154
L222,L62,13.7343685078
L227,L62,14.3006745399
L229,L62,21.5282373298
L231,L62,39.6832432812
L246,L62,36.8043124726
L247,L62,26.058024671
L249,L62,23.9950530305
L252,L62,20.0352446511
L262,L62,19.1202443595
L271,L62,17.4741598054
L273,L62,16.1544671827
L274,L62,12.2229257747
L292,L62,10.6473548097
L299,L62,9.49368938955
L309,L62,9.59443822341
L310,L62,10.3985599024
L313,L62,15.4258447441
L315,L62,17.0078520534
L321,L62,18.3607160825
L323,L62,20.2092659857
L328,L62,21.6405293951
L333,L62,19.6477721104
L334,L62,17.2149635084
L336,L62,15.9200351417
L338,L62,13.6829884571
L349,L62,10.8137110742
L355,L62,37.0239642279
L361,L62,24.3922909011
L365,L62,34.6994574016
L370,L62,19.4294889013
L371,L62,24.8136864646
L375,L62,46.9305887044
L382,L62,48.8556127222
L385,L62,28.048796923
L387,L62,22.4315845901
L392,L62,36.7011501742
L393,L62,38.1826545067
L402,L62,42.7031796594
L408,L62,30.5902437042
L411,L62,29.0434105
L412,L62,26.6157771832
L418,L62,24.5227041254
L423,L62,22.3808662013
L430,L62,16.9181381389
L431,L62,15.0707806413
L437,L62,13.3653970483
L444,L62,12.1537626462
L445,L62,10.5647156336
L469,L62,9.81898147473
L483,L62,20.4032329029
L493,L62,18.2917320308
L495,L62,16.6564420406
L496,L62,14.9811110703
L511,L62,13.7398129742
L527,L62,28.0583957679
L529,L62,26.1615709899
L530,L62,23.7620637015
L540,L62,22.1623101948
L543,L62,34.001681696
L554,L62,35.8549556063
L556,L62,30.6680684506
L560,L62,18.9653518976
L0,L62,18.3842411849
L7,L63,36.5417189808
L18,L63,34.8310491358
L26,L63,37.5551204952
L33,L63,28.3525424206
L36,L63,21.3313082856
L38,L63,16.8393666385
L57,L63,12.9810668296
L62,L63,8.22184733555
L63,L63,0
L70,L63,9.36286923276
L75,L63,11.9295362659
L76,L63,17.0318797715
L77,L63,20.5845509916
L78,L63,24.0138026185
L79,L63,27.7139166422
L80,L63,35.0024187712
L81,L63,41.1251780544
L82,L63,19.5599510342
L91,L63,18.7120427559
L93,L63,20.5260003158
L99,L63,35.6389427843
L102,L63,32.9069212909
L103,L63,28.5704218462
L106,L63,24.4472868597
L113,L63,42.318362217
L116,L63,27.64730706
L122,L63,25.1737255367
L128,L63,23.3277299884
L134,L63,21.6907582031
L135,L63,19.0582149598
L138,L63,22.5115049713
L139,L63,24.0255934851
L141,L63,25.5259101137
L145,L63,25.7696268944
L146,L63,25.9647348042
L147,L63,26.3556547511
L150,L63,26.7043640009
L151,L63,22.4419969569
L153,L63,30.6245588369
L154,L63,46.2769437557
L155,L63,42.73811426
L156,L63,25.2107486325
L157,L63,23.4468923215
L159,L63,31.9292684659
L162,L63,38.7752349728
L168,L63,30.6816205009
L171,L63,24.5629550455
L173,L63,25.922790344
L178,L63,27.1650873899
L179,L63,29.1059855995
L185,L63,22.6272096828
L186,L63,23.5875386804
L191,L63,21.5918147758
L203,L63,15.7648075261
L206,L63,15.7337243672
L213,L63,15.5505294646
L222,L63,15.9770677588
L227,L63,16.9923646037
L229,L63,24.7151649513
L231,L63,36.6450164405
L246,L63,33.7518411423
L247,L63,22.9923951254
L249,L63,20.961267472
L252,L63,17.1203506297
L262,L63,16.1469309756
L271,L63,14.4498601259
L273,L63,13.1883354033
L274,L63,9.7267062137
L292,L63,8.71329503412
L299,L63,8.62614513932
L309,L63,10.3694653403
L310,L63,11.793977014
L313,L63,17.9470207929
L315,L63,19.72275569
L321,L63,21.2008341559
L323,L63,23.1378320049
L328,L63,22.3913888765
L333,L63,20.0803256725
L334,L63,17.0047424009
L336,L63,15.9145161704
L338,L63,14.2537266464
L349,L63,11.9964583263
L355,L63,33.823406343
L361,L63,23.1873129532
L365,L63,36.8287958074
L370,L63,16.7603440323
L371,L63,27.7230168007
L375,L63,43.7986527921
L382,L63,45.7803179014
L385,L63,30.9102885545
L387,L63,25.3835468389
L392,L63,33.4965879864
L393,L63,34.9875056389
L402,L63,39.540436398
L408,L63,27.3709171402
L411,L63,25.830493454
L412,L63,23.4254292528
L418,L63,21.3704596053
L423,L63,19.3005061934
L430,L63,14.1883846024
L431,L63,12.5969736232
L437,L63,11.2421159137
L444,L63,10.4187943912
L445,L63,9.95970836387
L469,L63,11.9741505873
L483,L63,17.5824981072
L493,L63,15.4145134679
L495,L63,13.8987663576
L496,L63,12.4293282836
L511,L63,11.5215409002
L527,L63,29.5898458892
L529,L63,27.6963473394
L530,L63,25.2287365
L540,L63,23.5741201253
L543,L63,30.8594417972
L554,L63,32.6808884164
L556,L63,27.5715606864
L560,L63,18.014806521
L0,L63,18.5415874291
L7,L70,36.3578758102
L18,L70,35.0181838313
L26,L70,41.9160816445
L33,L70,32.7122343318
L36,L70,25.6884468139
L38,L70,21.1925887976
L57,L70,17.3257466134
L62,L70,12.5718379087
L63,L70,9.36286923276
L70,L70,0
L75,L70,7.56666704364
L76,L70,12.6725222749
L77,L70,16.2217021551
L78,L70,19.6858489973
L79,L70,23.3531947397
L80,L70,30.6864322972
